tweet_text,tweet_id,user_name,user_screen_name,user_location,user_description,user_follower_count,user_friends_count,user_listed_count,user_statuses_count,user_favourites_count,user_verified,user_default_profile_image,user_default_profile,user_protected,user_created_at
b'\\u0906\\u091c \\u0909\\u0924\\u094d\\u0924\\u0930\\u092a\\u094d\\u0930\\u0926\\u0947\\u0936 \\u0915\\u0947 \\u092c\\u093f\\u091c\\u0928\\u094b\\u0930 \\u092e\\u0947\\u0902 \\u0939\\u093f\\u0902\\u0938\\u093e \\u092a\\u0940\\u0921\\u093c\\u093f\\u0924\\u094b \\u0915\\u0947 \\u092a\\u0930\\u093f\\u0935\\u093e\\u0930\\u091c\\u0928\\u094b\\u0902 \\u0938\\u0947  \\u0915\\u093e\\u0902\\u0917\\u094d\\u0930\\u0947\\u0938 \\u092e\\u0939\\u093e\\u0938\\u091a\\u093f\\u0935 @priyankagandhi \\u091c\\u0940 \\u0928\\u0947 \\u092e\\u0941\\u0932\\u093e\\u0915\\u093e\\u0924 \\u0915\\u0940\\u0964\\u2026 https://t.co/3tEKmzByvU',b'1208726817500098561',b'All India Mahila Congress',b'MahilaCongress',b'India',b'Official Twitter Account of All India Mahila Congress.',b'126805',b'241',b'96',b'24731',b'12140',b'True',b'False',b'True',b'False',b'2015-12-03 23:18:09'
"b'Chai becho, desh nahin #IndiaAgainstCAA https://t.co/1FbVKtVarc'",b'1208726810692710401',b'Sudha N \\u0938\\u0941\\u0927\\u093e \\u0c38\\u0c41\\u0c27',b'nsudha13',b'Bangalore',"b'Works with grassroots communities; researches food, nutrition, health & agriculture; loves podcasts; storehouse of random trivia and serious facts.'",b'98',b'189',b'0',b'1006',b'7114',b'False',b'False',b'True',b'False',b'2015-03-25 15:19:37'
b'\\U0001f449 \\u09ad\\u09be\\u09b0\\u09a4\\u09ac\\u09b0\\u09cd\\u09b7\\u09c7\\u09b0 \\u09ae\\u09a4\\u09cb \\u09a6\\u09c7\\u09b6\\u09c7 \\u098f\\u0995\\u09bf \\u09b9\\u09b2\\u09cb \\U0001f448\\n#IndiaAgainstCAA \\n#CitizenshipAmendmentAct \\n#WeAgainstCAB \\n#NoNRC\\n#NO_CAB_NO_NRC \\nF\\u2026 https://t.co/SkhM5Zj7cv',b'1208726383876354048',b'Alina Khan',b'alinaa_khaan',"b'Kolkata,India'",b'\\u0987\\u09a4\\u09bf\\u09b9\\u09be\\u09b8\\u09c7\\u09b0 \\u09aa\\u09c1\\u09a8\\u09b0\\u09be\\u09ac\\u09c3\\u09a4\\u09cd\\u09a4\\u09bf \\u0985\\u09ac\\u09b6\\u09cd\\u09af\\u0987 \\u0998\\u099f\\u09c7 \\u0964',b'45',b'164',b'0',b'13',b'1',b'False',b'False',b'True',b'False',b'2019-12-22 06:09:38'
"b'When the cops vandalise a hospital, a library, hostels students\\u2019 vehicles and college campuses? Whose property are\\u2026 https://t.co/NrKbUBvQxx'",b'1208726253655609344',b'Vijay Ramachandran',b'vijayram',b'Bangalore',b'Storyteller. Enterprise Tech Watcher. Change Nurturer.',b'1386',b'572',b'45',b'5300',b'3826',b'False',b'False',b'False',b'False',b'2008-12-30 05:16:19'
b'\\U0001f449 \\u09ad\\u09be\\u09b0\\u09a4\\u09ac\\u09b0\\u09cd\\u09b7\\u09c7 \\u098f\\u0996\\u09a8\\u0993 \\u09aa\\u09b0\\u09bf\\u09b8\\u09cd\\u09a5\\u09bf\\u09a4\\u09bf \\u09a0\\u09bf\\u0995 \\u09b9\\u09af\\u09bc\\u09a8\\u09bf \\U0001f448\\n#IndiaAgainstCAA \\n#CitizenshipAmendmentAct \\n#WeAgainstCAB \\n#NoNRC\\u2026 https://t.co/uIxUdLRngi',b'1208725761865265152',b'Almas Naznin',b'AlmasNaznin',b'',b'love people.',b'14465',b'12129',b'3',b'19059',b'4147',b'False',b'False',b'False',b'False',b'2019-05-06 03:59:58'
b'#IndiaAgainstCAA_NRC\\n#JamiaProtest #Jamia #JamiaProtestsCAB #RavishKumar #bbcnews #NDTV #aljazeera #SOSJamia #Delhi\\u2026 https://t.co/Ysji8kC62b',b'1208725165481193472',b'shariq',b'ShariqSamrat',b'',b'',b'2',b'91',b'0',b'116',b'69',b'False',b'False',b'True',b'False',b'2014-12-06 05:27:51'
"b'This is Pathanwadi, Malad East, Mumbai\\nProtesters sang national anthem with the Police.\\n\\n#CAA_NRC_Protests\\u2026 https://t.co/xvEBNa0y1D'",b'1208724847213326342',b'Resist CAA',b'ResistCAA',b'',"b'Updates and information regarding the draconian Citizenship Act, NRC and the protests being held against them.'",b'1768',b'0',b'3',b'370',b'11',b'False',b'False',b'True',b'False',b'2019-12-16 20:02:00'
b'Peaceful protest is the right of every citizen. The job of the police is to ensure we are able to exercise this rig\\u2026 https://t.co/mVMSGkKj83',b'1208724800820121600',b'Resist CAA',b'ResistCAA',b'',"b'Updates and information regarding the draconian Citizenship Act, NRC and the protests being held against them.'",b'1768',b'0',b'3',b'370',b'11',b'False',b'False',b'True',b'False',b'2019-12-16 20:02:00'
b'\\u0939\\u092e \\u092d\\u093e\\u0930\\u0924\\u0940\\u092f \\u0939\\u0948\\u0901   \\u0939\\u092e\\u093e\\u0930\\u0940 \\u092a\\u0939\\u091a\\u093e\\u0928 \\u092d\\u093e\\u0930\\u0924\\u0940\\u092f \\u0939\\u094b\\u0928\\u093e \\u0939\\u0948.  \\u092d\\u093e\\u091c\\u092a\\u093e \\u091a\\u093e\\u0939\\u0924\\u0940 \\u0939\\u0948 \\u0915\\u093f \\u0939\\u092e \\u092d\\u093e\\u0930\\u0924\\u0940\\u092f \\u0928\\u093e \\u0939\\u094b \\u0915\\u0930 \\u0939\\u094b\\u0928\\u0947 \\u0927\\u0930\\u094d\\u092e \\u0938\\u0947 \\u092a\\u0939\\u091a\\u093e\\u0928\\u0947 \\u091c\\u093e\\u090f\\u0902   \\n\\u091c\\u092f \\u0939\\u093f\\u2026 https://t.co/oWkVNbOIGv',b'1208724548452937728',b'Masihuddin Naziri',b'nazirimarufi',b'',b'nazirimarufi',b'39',b'29',b'0',b'47',b'40',b'False',b'False',b'True',b'False',b'2019-10-22 13:32:21'
b'Posters of #IndiaAgainstCAA https://t.co/lZ356Ii4n0',b'1208724365006659585',b'Karthik',b'beastoftraal',b'Bangalore',"b'Communications consultant (see pinned tweet). Corporate workshops on personal branding via social media. Own @milliblog, ItwoFS & @NoWordYet.'",b'37641',b'1380',b'696',b'147653',b'4662',b'True',b'False',b'False',b'False',b'2008-12-18 01:28:52'
b'Posters of #IndiaAgainstCAA https://t.co/f52A9SzUKZ',b'1208724355636531201',b'Karthik',b'beastoftraal',b'Bangalore',"b'Communications consultant (see pinned tweet). Corporate workshops on personal branding via social media. Own @milliblog, ItwoFS & @NoWordYet.'",b'37641',b'1380',b'696',b'147653',b'4662',b'True',b'False',b'False',b'False',b'2008-12-18 01:28:52'
b'Who are not bhakts but supporting CAA must watch this....Golmal hey bhai sab Golmal hey...\\n\\n#IndiaAgainstCAA\\u2026 https://t.co/2tuMbGQ77a',b'1208722924904927238',b'Syed khursheed faraz',b'syed_faraz2',b'delhi',"b'Software Engineer\\U0001f4bb, Entrepreneur\\U0001f935, Sports lover\\U0001f3cf\\U0001f3d1\\U0001f3b3, Proudly Indian\\U0001f1ee\\U0001f1f3, Shayari Lover\\u270d\\ufe0f'",b'105',b'724',b'0',b'2168',b'13236',b'False',b'False',b'False',b'False',b'2010-05-10 13:22:57'
