tweet_text,tweet_id,user_name,user_screen_name,user_location,user_description,user_follower_count,user_friends_count,user_listed_count,user_statuses_count,user_favourites_count,user_verified,user_default_profile_image,user_default_profile,user_protected,user_created_at
b'For #UrbanNaxals \\n\\nPerfect reply.\\nQuestion : pic 1\\nAns : pic 2\\n\\nThank you \\n#\\u092e\\u094b\\u0926\\u0940_\\u0939\\u0948_\\u0924\\u094b_\\u092e\\u0941\\u092e\\u0915\\u093f\\u0928_\\u0939\\u0948\\u2026 https://t.co/Ssqoban1OE',b'1217750839256682496',b'\\u0b39\\u0b3f\\u0b24\\u0b47\\u0b36\\u0b4d\\u0b71\\u0b30 \\u0b36\\u0b24\\u0b2a\\u0b25\\u0b40(Hiteswar)#\\u091c\\u092f\\u0936\\u094d\\u0930\\u0940\\u0930\\u093e\\u092e',b'HITESWAR_',b'BHUBANESWAR',"b'Simple living,Belive in Hinduism. live and let other live.#SupporterofModiji\\n#JaiJagannath, \\nI am a Proud Indian ,\\n#kashmir is integral part of India.'",b'1018',b'2211',b'6',b'16666',b'25469',b'False',b'False',b'False',b'False',b'2010-03-20 06:14:50'
"b'How hypocritical, duplicitous of these pseudos \\n#paidmedia\\n#LEFTIST_ARE_TERRORISTS\\n#shutdownjnu\\n#congressMuktBHARAT https://t.co/n15aMdILrm'",b'1217714828191494145',b'Jai HIND',b'jbshah1',b'INDIA',b'',b'165',b'124',b'1',b'20209',b'11065',b'False',b'False',b'True',b'False',b'2013-11-12 03:36:29'
b'@sunandavashisht #leftist_are_terrorists',b'1217651944023396354',b'Binu Pillai',b'Binu28510720',b'',b'',b'34',b'172',b'0',b'387',b'1268',b'False',b'False',b'True',b'False',b'2019-06-07 13:31:46'
b'#LEFTISTS_ARE_CANCER #leftist_are_terrorists https://t.co/G04rPX0nPF',b'1217609241911054336',b'Roadrunner1967',b'Roadrunner19673',b'U. S.',"b'Army Vet, Conservative, Constitution, 2nd A, NRA, Proud American. Followed by Wiley Coyote .\\U0001f1fa\\U0001f1f8\\U0001f985#MAGA'",b'6485',b'6653',b'4',b'22935',b'66749',b'False',b'False',b'True',b'False',b'2016-12-23 21:45:44'
b'@pbhushan1 W\\xe0tch pimp @ravishndtv on #leftistgoons Kotha @ndtv promoted by dalla Bhushan.\\nHow unsocial events organ\\u2026 https://t.co/7CFtNSjxBG',b'1217550753931370496',b'MS Spoke',b'manojsinhaindia',"b'Now in Meditation, less tweets'","b'#PCL #UCC\\nVeer Bhogya Vasundhara.\\n\\nSpiritual. Data Scientist, S/W, IT (overseas)\\nStay Away:  Left crouch, Wit sprite, Flunkies.'",b'229',b'122',b'8',b'12599',b'1836',b'False',b'False',b'False',b'False',b'2016-03-04 14:28:17'
b'@aishe_ghosh @vijayanpinarayi @CMOKerala #LEFTISTS_MURDERED_MILLIONS \\n#IndiaSupportsCAA_NRC\\u2026 https://t.co/r69ugvF1Ii',b'1217510174082129926',b'\\u0928\\u0940\\u0930\\u091c \\u0915\\u0941\\u092e\\u093e\\u0930 \\u092a\\u093e\\u0920\\u0915\\U0001f1ee\\U0001f1f3',b'ImNeerajPathak',"b'Varanasi, India'",b'\\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930 \\u0938\\u0930\\u094d\\u0935\\u094b\\u092a\\u0930\\u093f \\U0001f495\\U0001f6a9\\U0001f64f\\n\\n\\u0939\\u093f\\u0902\\u0926\\u0940 \\u0939\\u093f\\u0928\\u094d\\u0926\\u0942 \\u0939\\u093f\\u0902\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928 \\U0001f6a9\\U0001f339\\n\\n****\\u092d\\u094b\\u0932\\u0947 \\u092d\\u0915\\u094d\\u0924 **** \\u0950 \\u0928\\u092e\\u0903 \\u0936\\u093f\\u0935\\u093e\\u092f** \\n\\nTweets are strictly personal .. \\u092d\\u0915\\u094d\\u0924 of national father \\U0001f6a9',b'66',b'52',b'0',b'931',b'651',b'False',b'False',b'True',b'False',b'2019-12-29 14:40:45'
"b'@DuttYogi #leftist_are_terrorists\\n\\u092f\\u0947 ""\\u0939\\u0930\\u0947 \\u0918\\u093e\\u0938 \\u092e\\u0947\\u0902 \\u0939\\u0930\\u0947 \\u0938\\u093e\\u0901\\u092a \\u0915\\u0940 \\u0924\\u0930\\u0939 \\u0939\\u0948\\u0902, \\n\\u0915\\u093f\\u0927\\u0930 \\u092d\\u093e\\u0917\\u0947\\u0902\\u0917\\u0947, \\u0915\\u092c \\u0915\\u093e\\u091f\\u0947\\u0902\\u0917\\u0947, \\n\\u092f\\u0947 \\u0905\\u0902\\u0926\\u093e\\u091c\\u093c\\u093e \\u0932\\u0917\\u093e\\u0928\\u093e\\u2026 https://t.co/wIcs73oQnM'",b'1217508279896563712',b'Keerty Sharma',b'Keertysharma',"b'Pune, India'","b""I Don't Care About Popularity.... I Live In Reality..... Based On Originality...Forget Looks... I Respect Personality..""",b'1382',b'1529',b'12',b'21587',b'22452',b'False',b'False',b'True',b'False',b'2012-10-02 17:37:29'
"b'@priyankagandhi \\u0906\\u092a\\u092e\\u0947\\u0902 \\u0939\\u093f\\u092e\\u094d\\u092e\\u0924 \\u0939\\u094b\\u0924\\u094b \\u092c\\u093f\\u0928\\u093e \\u0917\\u093e\\u0902\\u0927\\u0940 \\u0938\\u0930\\u0928\\u0947\\u092e \\u0932\\u0917\\u093e\\u0915\\u0930 \\u0939\\u093f\\u0902\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928 \\u0915\\u0940 \\u0930\\u093e\\u091c\\u0928\\u0940\\u0924\\u093f\\u0915 \\u0915\\u0930\\u0915\\u0947 \\u0926\\u093f\\u0916\\u093e\\u0913..\\U0001f914\\n\\u0909\\u0927\\u093e\\u0930 \\u0915\\u0947 \\u0938\\u0930\\u0928\\u0947\\u092e ""\\u092b\\u0930\\u094d\\u091c\\u0940\\u2026 https://t.co/pVxlDK68Jr'",b'1217483957442244608',b'P k. singh',b'Pksingh52713272',b'BUTTER LAND',b'An Ordinary Tax Paying Common Citizen\\n\\u0938\\u0928\\u093e\\u0924\\u0928 \\u0927\\u0930\\u094d\\u092e\\u0940 \\U0001f6a9\\n\\u091c\\u092f \\u0936\\u094d\\u0930\\u0940 \\u0930\\u093e\\u0927\\u0947\\U0001f64f\\nWhy the Constitution of this country is the testament of Javaharalal Nehru?????',b'418',b'353',b'1',b'15744',b'67967',b'False',b'False',b'True',b'False',b'2016-10-22 04:55:48'
b'@kanhaiyakumar 10/20 \\u0938\\u0942\\u0905\\u0930 \\u0915\\u094b \\u0930\\u094b\\u0921 \\u092a\\u0930 \\u091c\\u093f\\u0939\\u093e\\u0926\\u0940 \\u0915\\u0930\\u0928\\u0947 \\u0915\\u094b \\u0906\\u0902\\u0926\\u094b\\u0932\\u0928 \\u0928\\u0939\\u0940\\u0902 \\u0915\\u0930\\u0924\\u0947 \\u091f\\u0941\\u0915\\u0921\\u093c\\u0947 \\u091f\\u0941\\u0915\\u0921\\u093c\\u0947 \\u0917\\u0948\\u0902\\u0917 \\U0001f437\\n#IndiaSupportsCAA\\u2026 https://t.co/JnbB0mSUwo',b'1217466961006776322',b'RK SUMAN',b'RKSUMAN16992623',b'',b'#born to express my self!!!',b'108',b'181',b'0',b'942',b'16217',b'False',b'False',b'True',b'False',b'2019-07-12 02:59:16'
b'@ashutosh83B @BJP4India @kanhaiyakumar @sfijnuunit @abvpjnu @SitaramYechury \\u0915\\u0932\\u094d\\u0932\\u0942 \\u0935\\u093e\\u092e\\u092a\\u0902\\u0925\\u0940 \\u0939\\u0948\\u0902\\n#IndiaSupportsCAA\\u2026 https://t.co/BNuLekl5ed',b'1217466251720589317',b'RK SUMAN',b'RKSUMAN16992623',b'',b'#born to express my self!!!',b'108',b'181',b'0',b'942',b'16217',b'False',b'False',b'True',b'False',b'2019-07-12 02:59:16'
