# 2019-12-17 Start
2019-12-18 AMR
2019-12-18 SUPCAA
# 2019-12-23 Twitter didn't how CAA tags as trending
2019-12-23 AGGCAA
Wed Jan 22 10:40:16 2020 all ['#LEFTIST_ARE_TERRORISTS', '#LeftAttacksJNU', '#ShutDownJNU#LeftKillingJNU', '#IndiaSupportsCAA', '#CAASupport', '#TukdeGangSpotted', '#JNUattack', '#ABVP_TERRORISTS', '#JNUTerrorAttack', '#IndiaAgainstCAA', '#CAA_NRC']
Wed Jan 22 19:16:39 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 19:16:51 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 19:17:02 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 19:17:15 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 19:17:26 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 19:17:38 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 19:27:38 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 19:38:39 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 19:49:41 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:42 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:43 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:44 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:45 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:46 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:47 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:47 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:48 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:49 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:50 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:51 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:52 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:52 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:53 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:54 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:55 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:56 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:57 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:57 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:58 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:00:59 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:00 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:01 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:02 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:02 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:03 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:04 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:05 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:05 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:06 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:07 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:08 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:09 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:09 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:10 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:11 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:12 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:13 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:13 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:14 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:15 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:16 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
