b'This is for all those who are just trying to spread lies to the society for there own good.\\n#ShaheenBaghProtest\\u2026 https://t.co/xVDvHCAzr0',b'1231989692729417729',b'Dip',b'SudipaBhatt',b'\\U0001f644\\U0001f914',b'\\u092e\\u0947\\u0930\\u093e \\u0926\\u0947\\u0936 \\u092e\\u0947\\u0930\\u093e \\u0927\\u0930\\u094d\\u092e \\u0938\\u0930\\u094d\\u0935\\u094b\\u092a\\u0930\\u093f',b'65',b'25',b'0',b'1488',b'2969',b'False',b'False',b'True',b'False',b'2019-04-13 04:22:41'
b'May this brave police men soul rest in peace \\n\\nThese are the \\u201cpeaceful protest\\u201d done by the protesters\\u2026 https://t.co/maXf2FcqDq',b'1231989682746974208',b'Krishna joshi',b'Krishna__joshi',"b'Thane, India'",b'',b'2',b'59',b'0',b'26',b'23',b'False',b'True',b'True',b'False',b'2017-09-22 16:22:47'
b'#DelhiPolice sarkar delhi police ko in jihadio se mukabla karne ko kahe n ki santi banane mai samay barbad kare aur\\u2026 https://t.co/LSgScmZKTx',b'1231989679261548544',b'Niraj Bhardwaj',b'NirajBh94983189',b'',b'law student',b'12',b'80',b'0',b'483',b'377',b'False',b'False',b'True',b'False',b'2019-06-03 05:54:55'
b'@Shaheenbaghoff1 \\u0939\\u0941\\u0924\\u093e\\u0924\\u094d\\u092e\\u093e \\u0939\\u0947\\u0921 \\u0915\\u0949\\u0928\\u094d\\u0938\\u094d\\u091f\\u0947\\u092c\\u0932  \\u0938\\u094d\\u0935 . \\u0930\\u0924\\u0928\\u0932\\u093e\\u0932\\u091c\\u0940 \\u0915\\u0947 \\u0939\\u0924\\u094d\\u092f\\u093e\\u0930\\u094b\\u0902 \\u0938\\u0947 \\u092c\\u0926\\u0932\\u093e \\u0932\\u0947 \\u092a\\u0941\\u0932\\u093f\\u0938 #DelhiPolice',b'1231989679085494272',b'\\u0913\\u091d\\u093e \\u0928\\u0930\\u0947\\u0936 \\u0935\\u093f\\u091c\\u092f',b'ozanareshvijay',b'',b'\\u0905\\u092c \\u0939\\u094b\\u0917\\u093e \\u0928\\u094d\\u092f\\u093e\\u092f !  \\u0915\\u094d\\u092f\\u094b\\u0902\\u0915\\u0940 \\u092f\\u0947 \\u0928\\u092f\\u093e \\u092d\\u093e\\u0930\\u0924 \\u0939\\u0948 \\u0918\\u0930 \\u092e\\u0947 \\u0918\\u0942\\u0938\\u0915\\u0930 \\u092e\\u093e\\u0930\\u0947\\u0917\\u093e ........\\u092d\\u093e\\u0930\\u0924\\u092e\\u093e\\u0924\\u093e \\u0915\\u0940 \\u091c\\u092f ! ! !',b'89',b'252',b'0',b'3481',b'2795',b'False',b'False',b'True',b'False',b'2012-11-22 17:19:11'
b'\\u091a\\u0947\\u0924\\u093e\\u0935\\u0928\\u0940 : \\u0930\\u094b\\u0939\\u093f\\u0902\\u0917\\u094d\\u092f\\u093e\\u0913\\u0902 \\u0915\\u094b \\u0928\\u093e\\u0917\\u0930\\u093f\\u0915\\u0924\\u093e \\u0926\\u093f\\u0932\\u093e\\u0928\\u0947 \\u0915\\u0947 \\u091a\\u0915\\u094d\\u0915\\u0930 \\u092e\\u0947\\u0902 \\u0907\\u0924\\u0928\\u093e \\u0906\\u0917\\u0947 \\u092e\\u0924 \\u092c\\u0922\\u093c \\u091c\\u093e\\u0913 \\u0915\\u0940 \\u0916\\u0941\\u0926 \\u0939\\u0940 \\u0930\\u094b\\u0939\\u093f\\u0902\\u0917\\u094d\\u092f\\u093e\\u0913\\u0902 \\u0915\\u0947 \\u091c\\u0948\\u0938\\u0947 \\u092d\\u091f\\u0915\\u0928\\u093e \\u092a\\u0921\\u093c\\u0947\\u2026 https://t.co/Sf0oWUcEy6',b'1231989665609043968',b'Amrit Ray',b'iamritray',b'India',b'',b'25187',b'534',b'85',b'1334',b'14',b'False',b'False',b'True',b'False',b'2013-04-18 07:31:22'
b'#DelhiBurning #DelhiPolice After the killing of the cop its a gurantee that the police force will lash out...',b'1231989644507648000',b'dhananjay khare aka deejay',b'dhananjaybkhare',b'Pune India',b'Been in advertising for a long time. Now in Pune. love to cook. just discovered south indian cuisine. regret that our true history and culture was never taught.',b'177',b'316',b'2',b'4917',b'3837',b'False',b'False',b'True',b'False',b'2010-01-07 11:43:08'
b'#DelhiPolice https://t.co/CH9SK4fzeH',b'1231989613520023552',b'\\u0130br\\xe2him en-Neh\\xe2\\xee',b'AsakiriMansur',b'ankara',"b""ALLAH [c.c] G\\xf2zL\\xe9r\\xecn \\xcch\\xe0n\\xe9t\\xecn\\xec d\\xe9 \\xdf\\xecL\\xecr.! G\\xf2n\\xf9LL\\xe9r\\xecn S\\xe0kL\\xe0d\\u0131\\u011f\\u0131n\\u0131 d\\xe0 . ! M\\xf9'm\\xecn, 19""",b'7960',b'8573',b'5',b'24093',b'5240',b'False',b'False',b'False',b'False',b'2013-10-08 18:51:01'
"b'@prempanicker @sushant_says Ghamzada hai Dil, Haal e Dilli dekh ke,\\nNam ha ankhe, zulm ki inteha dekh k.\\nK jinse ho\\u2026 https://t.co/r1Ccgg7dgq'",b'1231989605622259713',b'Syed Hameedullah',b'adil_amu',b'India',b'Jo Abr yaha se uthega wo sare jahan pe Barsega!!!                                                 #SlaveOfTime',b'71',b'250',b'1',b'663',b'1852',b'False',b'False',b'True',b'False',b'2010-01-27 12:04:23'
"b""No, BJP isn't behind DelhiViolence , there is no proof ~ #DelhiPolice \\n\\n#ArrestTerroristKapilMishra https://t.co/mLatxEguhd""",b'1231989599356018693',b'Maharaaj',b'Okey_Its_me',b'',"b'Underground,'",b'2',b'50',b'0',b'78',b'50',b'False',b'False',b'True',b'False',b'2020-02-23 19:17:03'
b'@DelhiPolice is responsible for death of its Constable through its acts of omission and facilitating right wing fas\\u2026 https://t.co/BdVl7dSRfp',b'1231989593513349123',b'UnafraidHindu',b'WhatTheFuckErie',b'',b'A Hindu laughing at Hindutva.',b'75',b'420',b'0',b'8500',b'469',b'False',b'False',b'True',b'False',b'2018-11-25 05:36:07'
