"b'@HarishPositive @dhruv_rathee You tell me ,protest are going on like from 64 days no violence happen everybody was\\u2026 https://t.co/Cw6PbuYflK'",b'1232222144068612097',b'Curator',b'GHULAMY92592160',b'',b'Meri Nass Nass bahe tu watan\\nMeri Nass Nass kahe ae watan\\n\\n   Mera saara tujhpe waara',b'18',b'104',b'0',b'742',b'977',b'False',b'False',b'True',b'False',b'2019-06-09 06:46:41'
b'@Swamy39 Only anti CAA and not single word about pro CAA. they both are involved in the violence.',b'1232222061319213056',b'Kaha Hai Mera Ram!',b'ashish77_jain',b'India',b'Humane |Live and let Live',b'16',b'165',b'0',b'967',b'768',b'False',b'False',b'True',b'False',b'2012-02-22 09:49:51'
b'@RantingDosa Pro CAA Protester= Anti Muslim \\nSimple',b'1232221996873744384',b'irfan Ashme |\\u0639\\u0631\\u0641\\u0627\\u0646 \\u0639\\u0634\\u0645\\u064a',b'ashmeit',"b'New Delhi, India'",b'\\u2b07\\ufe0f\\U0001f30d...\\U0001f643\\U0001f9d1...\\U0001f939....\\U0001f91a...\\U0001f44c\\U0001f44d....',b'37',b'221',b'0',b'413',b'1022',b'False',b'False',b'True',b'False',b'2014-11-13 21:11:10'
"b""Mumbai put on high alert following Monday's violent clash between pro and anti-CAA protestors in Delhi\\u2026 https://t.co/qlCXUlnmou""",b'1232221962581098497',b'Hello Mumbai News',b'thehellomumbai',"b'Mumbai, India'","b""Mumbai's first 24/7 online portal""",b'154',b'3',b'0',b'199',b'21',b'False',b'False',b'False',b'False',b'2016-10-23 09:28:02'
"b'#TrumpSeeRealIndia\\nTrump does not need to dig the reality of India, just see what\\u2019s happening in Delhi, pro and anti CAA riots which killed'",b'1232221958537908224',b'Ali hassan',b'AlihassanAli01',b'',b'Born to Rule | Stay away or else i will be a  Ghost Rider\\U0001f60e',b'36',b'66',b'0',b'505',b'592',b'False',b'False',b'True',b'False',b'2019-12-02 17:37:48'
b'@VishalDadlani People got fed up of this lock down and when they started showing their feelings which we are callin\\u2026 https://t.co/h4zLR8IE7d',b'1232221906667016194',b'KadwaSach',b'KadwaSa27920358',b'India',b'Truth which is not spoken is buried with thousands lies.',b'4',b'160',b'0',b'259',b'97',b'False',b'False',b'True',b'False',b'2019-08-23 20:26:27'
b'Shots fired in north-east Delhi\\u2019s Maujpur in clashes between pro and anti-CAA groups\\n\\nhttps://t.co/24EYQUSXmh https://t.co/FxSDMGp4uJ',b'1232221879571664896',b'Hindustan Times',b'htTweets',b'India',"b""One of India's largest media companies. Latest news from around the world. Retweets are not endorsements.""",b'7111240',b'126',b'7129',b'674903',b'2976',b'True',b'False',b'False',b'False',b'2009-04-29 10:11:34'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/vDwTApMLkn',b'1232221694460219392',b'Usman Pulappatta',b'UPulappatta',b'',b'Hard worker',b'17',b'44',b'0',b'141',b'28',b'False',b'False',b'True',b'False',b'2020-02-25 04:54:59'
b'Have Delhi Police arrested any Pro CAA supporter who was involved in Violence and Arson despite video evidence?',b'1232221676332437504',b'N\\u0435\\u043dr_w\\u043d\\u043e\\u2122',b'Nehr_who',b'',b'Parody. RTs are not endorsement. Follow my backup account @whonehr',b'105347',b'235',b'138',b'1022',b'33145',b'False',b'False',b'True',b'False',b'2016-10-20 07:01:31'
"b""@RahulEaswar Only one side is doing arson...has any pro CAA rally attacked and burnt public properties... don't spread fake. Narratives""",b'1232221670808727552',b'abhilash warrier',b'abhilashwarrier',b'',b'',b'56',b'265',b'1',b'7149',b'20072',b'False',b'False',b'True',b'False',b'2010-05-29 14:29:39'
b'@Sreya_Chattrjee @sarkarshanta @Parv05 @KapilMishra_IND Parvina herself is saying in her report she was unable to i\\u2026 https://t.co/nBvuW0GP3B',b'1232221588889583617',b'Sunandchand',b'sunandchand',b'',b'',b'5',b'9',b'2',b'2857',b'575',b'False',b'False',b'True',b'False',b'2009-01-18 10:40:19'
b'@Ramaswamie Well news dekha kya ? Pro CAA protesters jab se aaye tab se shuru hua yeh sab.',b'1232221552084602881',b'pRe mAtuRe eNginNer',b'deowaalibaat',b'KanpuR',"b'I am different like every upcoming engineer be , i always oppose wrong and love to laugh........'",b'147',b'1778',b'2',b'7431',b'6780',b'False',b'False',b'False',b'False',b'2014-01-09 12:24:02'
b'@shahid_siddiqui Shahid the way you are trying to just shift blame to Pro CAA guys who have been way more peaceful\\u2026 https://t.co/t2nFw4wssh',b'1232221472548098048',b'Harshal Tank',b'Harshal_Tank',b'Earth',"b'Father, Husband, Traveler, OverClocker, Race Addict, Blood Donor and an Atheist. \\n\\n\\nRTs are NOT Endorsement'",b'263',b'766',b'33',b'47727',b'19698',b'False',b'False',b'False',b'False',b'2009-04-08 06:01:42'
b'@therahulsinh @Sultansdesi @Sami73Ali @HasnainSaquib7 @Kritika_Kamra Shaheen Baugh protest since more than 70 days.\\u2026 https://t.co/Ql7T9LuYDq',b'1232221461047369728',b'Ahsan Chaudhary',b'alifestylegirl',b'',b'Just a human!!!',b'91',b'40',b'0',b'3584',b'3213',b'False',b'False',b'True',b'False',b'2019-12-31 12:33:31'
"b""Anti CAA: Please don't discriminate Muslims.\\nPro CAA : I will kill you!!!""",b'1232221443552956421',b'MS Golvalkar (Parody)',b'goloobhai',"b'Nagpur, India'",b'Parody | \\u0938\\u0930\\u0938\\u0902\\u0918\\u091a\\u093e\\u0932\\u0915 | \\u0939\\u093f\\u0928\\u094d\\u0926\\u0941\\u0924\\u094d\\u0935 | Hypocrite | BHU \\U0001f6a9',b'1407',b'911',b'1',b'8877',b'127943',b'False',b'False',b'True',b'False',b'2015-03-05 12:17:16'
b'Shaheen Bagh protest is going on for 2 months:\\nNo of Riots-0\\nNo of person injured- 0\\nNo of Houses burnt- 0\\nNo of pe\\u2026 https://t.co/3FzdTL3S0h',b'1232221368789303296',b'azeem suleman',b'suleman_azeem',b'',b'',b'128',b'407',b'0',b'976',b'3843',b'False',b'False',b'True',b'False',b'2013-07-29 18:37:53'
b'@moronhumor Kaise bhai? Anti CAA ek law ke against khade hain .. pro CAA waale khade hain anti CAA waalon ke agains\\u2026 https://t.co/0P7QiSH7hR',b'1232221321666297857',b'Sasta Naukar',b'SastaNaukar',b'',"b'Ram Ram, Malik!'",b'0',b'22',b'0',b'385',b'14',b'False',b'False',b'True',b'False',b'2020-01-07 22:19:57'
"b""@IndiaSpeaksPR Not only opposite they also lie. In one post sahrukh's pic is shown as pro CAA protester""",b'1232221297029066753',b'pradip shah',b'pradipshah3',"b'\\u092e\\u0941\\u0902\\u092c\\u0908, \\u092d\\u093e\\u0930\\u0924'",b'',b'29',b'66',b'0',b'945',b'1114',b'False',b'False',b'True',b'False',b'2011-08-24 18:10:46'
b'@ReallySwara @DelhiPolice Pro CAA protesters carrying injured police man and taking them to safe place from Muslim\\u2026 https://t.co/f0squ6ET6V',b'1232221134164123654',b'Khiladi Harry',b'mahendrakar01',b'Akkian world',"b'Die hard fan of Akshay Kumar, Virat Kohli & RCB RCB RCB Lover, Dreamer, tweeter user 24x7.proud Indian'",b'514',b'1496',b'2',b'36222',b'166899',b'False',b'False',b'True',b'False',b'2012-10-16 12:28:37'
b'#DelhiBurning  no matter whether the constable is anti caa or pro caa.. death of constable Ratanlal is a death of e\\u2026 https://t.co/sDaxoddUg1',b'1232220914785218561',b'Mohd Mehran Khan',b'MohdMehranKhan1',b'Rampur Uttar Pradesh India',b'jamian(jmi)',b'23',b'161',b'0',b'69',b'2156',b'False',b'False',b'True',b'False',b'2018-12-18 11:46:07'
b'@Sridhar32553783 @ArvindKejriwal #KapilMishra Kapil Mishra threatens in front of Delhi CCP in #Jafrabad where there\\u2026 https://t.co/vridncZTku',b'1232220891922210816',b'Meetpan',b'Meetpan1',b'India',b'',b'26',b'156',b'0',b'1953',b'1514',b'False',b'False',b'True',b'False',b'2019-11-09 18:47:41'
b'@vivekagnihotri Anti CAA k saamne jaakar pro CAA khade ho jaate hain time to time.kyun? violence jagane k liye hi n\\u2026 https://t.co/ykERusJaTi',b'1232220822686728192',b'Sasta Naukar',b'SastaNaukar',b'',"b'Ram Ram, Malik!'",b'0',b'22',b'0',b'385',b'14',b'False',b'False',b'True',b'False',b'2020-01-07 22:19:57'
b'@VishalDadlani @MumbaiPolice @DelhiPolice Then @MumbaiPolice @DelhiPolice Take action against this as well as\\u2026 https://t.co/P8WskA8JnX',b'1232220813249728512',b'Mrityunjay',b'MrityunjayTalks',b'',"b'Expert on everything under the sun, hence a certified liberal ;)'",b'60',b'578',b'0',b'7989',b'18930',b'False',b'False',b'True',b'False',b'2020-01-07 17:34:04'
b'@PUNEET_2001 Jake deko saheen bagh aur pro CAA ki rally me malim hota farq kya hai.aur burqa pahen kar kane ki zaru\\u2026 https://t.co/bfdYUTRbA8',b'1232220797168603137',b'irfan khan',b'irfankd1234',"b'Gulbarga, India'",b'Structural engineer',b'59',b'781',b'0',b'534',b'3487',b'False',b'False',b'True',b'False',b'2015-07-11 11:43:39'
b'This is how Muslims are being terrorised in India -   not just by the state but by the state backed majoritarian Hi\\u2026 https://t.co/CQ79U4kyH6',b'1232220726092075008',b'Dr Mani PTI (FOLLOW 4 ANY MEDICAL ADVICE )',b'p4pakipower',"b'Wilmslow, United Kingdom'","b'Doctor, traveller, blogger, political analyst. \\nVote khan ka. \\nFollow 4 FB\\U0001f4af. Luv 4 army & IK runs in my blood. @OfficialDGISPR @peaceforchange @ImranKhanPTI'",b'26500',b'28715',b'18',b'82586',b'43894',b'False',b'False',b'True',b'False',b'2011-04-02 20:28:27'
b'I am using it wisely not biasedly like u. Have I mentioned anywhere that the Govt has done so ?? It was done by pro\\u2026 https://t.co/fVrj7J0kH0',b'1232220691321311232',b'Dr. Biplab Siladitya',b'BiplabSiladitya',"b'\\u0915\\u091f\\u0915, \\u092d\\u093e\\u0930\\u0924'","b'Lawyer | Karate Shitorio Black Belt | East Zone Vizzy Trophy Cricketer | NCC C Certificate | Gold Medalist in History | Ex National Sect, NSUI |\\nViews Personal'",b'407',b'217',b'1',b'1053',b'5282',b'False',b'False',b'False',b'False',b'2009-12-20 19:20:18'
"b'@BDUTT Just a report of constable dying what about the other 4 who were shot by the pro CAA protesters, they were n\\u2026 https://t.co/jWItPjJF5L'",b'1232220561658372096',b'SAM',b'MrNaqshabandi',b'hyderabad',b'',b'16',b'118',b'0',b'122',b'739',b'False',b'False',b'True',b'False',b'2012-04-12 09:11:02'
b'This guy talks about the thugs - Tadipar had sent in the name of Pro CAA protestors. https://t.co/p2HslVM5KJ',b'1232220534961631232',b'\\u0baa\\u0bb4\\u0b99\\u0bcd\\u0b95\\u0bc1\\u0b9f\\u0bbf\\u0baf\\u0bbe\\u0ba9\\u0bcd',b'karikaalan1CE',b'',b'',b'66',b'264',b'0',b'14080',b'4763',b'False',b'True',b'True',b'False',b'2011-01-28 07:50:19'
b'@Delhi_Sarcasm They were not Pro CAA protestors but rioters. It was intended to demonize other protests and instill\\u2026 https://t.co/fJDbCSHqO8',b'1232220514480984065',b'Aaj ka Rumi',b'MotivatedSufi',b'',b'Sufi is the friend of the present moment. To say tomorrow is not our way.',b'36',b'355',b'0',b'955',b'3013',b'False',b'False',b'True',b'False',b'2019-05-22 15:07:26'
b'@sawantatwork55 @fayedsouza #KapilMishra Kapil Mishra threatens in front of Delhi CCP in #Jafrabad where there was\\u2026 https://t.co/FDilZieYBQ',b'1232220378531008512',b'Meetpan',b'Meetpan1',b'India',b'',b'26',b'156',b'0',b'1953',b'1514',b'False',b'False',b'True',b'False',b'2019-11-09 18:47:41'
"b'Anti CAA \\u0935\\u093e\\u0932\\u094b \\u0915\\u093e \\u092a\\u094d\\u0930\\u094b\\u091f\\u0947\\u0938\\u094d\\u091f \\u0926\\u094b \\u092e\\u0939\\u093f\\u0928\\u0947 \\u0938\\u0947 \\u0936\\u093e\\u0902\\u0924 \\u091a\\u0932 \\u0930\\u0939\\u093e \\u0939\\u0948\\u0964\\n\\nPro CAA \\u0935\\u093e\\u0932\\u094b \\u0928\\u0947 \\u0926\\u094b \\u0926\\u093f\\u0928 \\u092e\\u0948 5 \\u0932\\u093e\\u0936\\u0947\\u0902 \\u0922\\u093e\\u0926\\u0940, \\u0906\\u0917\\u091c\\u0928\\u0940, \\u092a\\u0924\\u094d\\u0925\\u0930 (\\u0930\\u092c\\u0930\\u2026 https://t.co/rrmjxOnm7w'",b'1232220233760305152',b'Alien',b'Alien__Musk',b'AlienLand',"b'alien, who thinks good of earth....\\nDemocracy & Constitution, Not DemoNcracy & Substitution'",b'1171',b'2543',b'1',b'20644',b'2532',b'False',b'False',b'True',b'False',b'2017-09-15 15:50:18'
b'@VishalDadlani Pro CAA is up &amp; running for as long! The problem started when it became about occupying public spaces ...',b'1232220229981392896',b'@_goyalvin',b'goyalvin1',b'',b'',b'2',b'89',b'0',b'29',b'15',b'False',b'False',b'True',b'False',b'2020-02-22 08:08:45'
b'@prafull_kilo @saifi_aaysha @AmanKashyap89 @tanveer_j_khan @svaradarajan @narendramodi @DelhiPolice #KapilMishra Ka\\u2026 https://t.co/5IiGSj3EsK',b'1232220219474665472',b'Meetpan',b'Meetpan1',b'India',b'',b'26',b'156',b'0',b'1953',b'1514',b'False',b'False',b'True',b'False',b'2019-11-09 18:47:41'
"b'@KapilMishra_IND Kaya sirf sahin baag ke logo ko hi Protest ka adhikar hai ?? \\nSir,Constitution sabhi ko saman righ\\u2026 https://t.co/TjQvWd2vk2'",b'1232220078625550339',b'Devvratsinhchudasama',b'Devvratsinh5',b'Gujarat ',b'',b'7',b'58',b'0',b'110',b'38',b'False',b'False',b'True',b'False',b'2016-04-19 16:56:47'
b'Shaheen Bagh protest is going on for 2 months:\\n\\nNo of Riots-0\\nNo of person injured- 0\\nNo of Houses burnt- 0\\nNo of p\\u2026 https://t.co/xIjuiZg5HH',b'1232220068152512512',b'Faisalmalik000',b'Faisalmalik0006',b'',b'',b'2',b'16',b'0',b'16',b'71',b'False',b'False',b'True',b'False',b'2020-02-24 10:19:23'
