b'I really need to see much less #IvankaTrump she is so freaking gross!',b'1229252925374914561',b'Christy Olsen',b'Kelpmaiden',"b'Anacortes, WA'",b'Artist. Boat worker.',b'41',b'198',b'0',b'1230',b'1059',b'False',b'False',b'False',b'False',b'2010-03-04 17:46:09'
"b""#IvankaTrump's verbal, nonverbal and paralanguage behavior indicates she believes at least some of the women who ha\\u2026 https://t.co/dLHVYIc4m5""",b'1229247713365106688',b'#IAmTheDemocraticEstablishment',b'trumpscarnage',"b'Michigan, USA'",b'\\U0001f595@realdonaldtrump  #TrumpIsARussianAsset #StopElectionInterference  \\n#StopTrumpCorruption \\n#GoVegan #Compassion\\n#StopFarmAnimalAbuse\\n#NeverBernie \\n#Biden2020',b'1577',b'1965',b'11',b'75374',b'72595',b'False',b'False',b'True',b'False',b'2017-01-25 07:09:22'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @jpeyton12000 #poshmark #fashion\\u2026 https://t.co/4jDJIoLUVf""",b'1229247347575541760',b'yolanda maneiro',b'calcouture',"b'Atlanta, GA'",b'#resellers #clothing #collectibles #vintageperfume',b'576',b'2327',b'22',b'35833',b'81',b'False',b'False',b'False',b'False',b'2012-05-19 20:02:48'
b'@ElizabethEThorp Aka Imelda Trump.  #IvankaTrump',b'1229244915701280768',b'Georgette',b'GeorgetteRain',"b'Oregon, USA'",b'Pacific Northwest/ Newshound/ Interested in International History and Politics.',b'1269',b'1846',b'41',b'71626',b'72179',b'False',b'False',b'False',b'False',b'2012-01-31 18:50:26'
b'https://t.co/FY8EsyWhQh\\n#IvankaTrump Before photo.',b'1229242486230593536',b'Merely Me',b'andThisAndThat',b'Mother Earth',"b""If you can't feed 100 people then feed just one.      \\n\\n#SaveTheEarth #ClimateChange #ClimateAction\\n\\U0001f1f1\\U0001f1f7\\u2696\\U0001f5fd\\U0001f30f\\n#Resist #VoteBlue""",b'5241',b'5287',b'29',b'103121',b'14058',b'False',b'False',b'False',b'False',b'2011-11-14 05:49:41'
b'https://t.co/AgZt5GoeSN\\n\\nYou too can have the face of #IvankaTrump. \\nIt just takes money and a good surgeom.',b'1229241805616680960',b'Merely Me',b'andThisAndThat',b'Mother Earth',"b""If you can't feed 100 people then feed just one.      \\n\\n#SaveTheEarth #ClimateChange #ClimateAction\\n\\U0001f1f1\\U0001f1f7\\u2696\\U0001f5fd\\U0001f30f\\n#Resist #VoteBlue""",b'5241',b'5287',b'29',b'103121',b'14058',b'False',b'False',b'False',b'False',b'2011-11-14 05:49:41'
b'@SpeakerPelosi Way to go PRESIDENT TRUMP! Promises made and promises kept. You bleeding heart liberals have raped o\\u2026 https://t.co/ChqWq98UcI',b'1229239038592376832',b'Margie Dale Norris',b'MargieNorr1',"b'Fort Worth, TX'","b'will not conform to the ways of this world, happily married, love Trump, pro life, #trump2020! no direct message please.'",b'1084',b'1087',b'3',b'8014',b'11286',b'False',b'False',b'True',b'False',b'2017-01-16 14:35:40'
b'@BCDreyer America\\u2019s #BotoxBaroness  wafting her way through the Middle East \\n\\n#IvankaTrump',b'1229237855177719809',b'Earthnik',b'Earthnik',b'San Francisco',b'Frank Plughoff\\u2014Advocate  for ALL Life on Earth!\\u2014Urban Gardener\\r\\nVermiculture\\u2014ANTI-GMO! \\r\\n\\u2022Health Coach & Board Certified Holistic Health Practitioner\\u2022',b'6770',b'3091',b'465',b'41978',b'430',b'False',b'False',b'False',b'False',b'2009-07-31 19:42:47'
b'@VOANews America\\u2019s #BotoxBaroness  faking her way through the Middle East! \\n\\n#IvankaTrump',b'1229237431653691394',b'Earthnik',b'Earthnik',b'San Francisco',b'Frank Plughoff\\u2014Advocate  for ALL Life on Earth!\\u2014Urban Gardener\\r\\nVermiculture\\u2014ANTI-GMO! \\r\\n\\u2022Health Coach & Board Certified Holistic Health Practitioner\\u2022',b'6770',b'3091',b'465',b'41978',b'430',b'False',b'False',b'False',b'False',b'2009-07-31 19:42:47'
"b""Sheikh Mohammed, Hamdan and #IvankaTrump attend Global #Women's Forum #Dubai 2020 https://t.co/it12Fv3wOe https://t.co/cwsXPxzB19""",b'1229236105481945088',b'Eli Dror',b'edrormba',"b'Florida, USA'","b'#Israel #MiddleEast\\n#StockMarket #Investments\\nBesancon University, Sorbonne Nouvelle, Pace University MBA'",b'10315',b'10076',b'177',b'151743',b'79474',b'False',b'False',b'False',b'False',b'2011-05-14 20:43:17'
