b'@PTI_News @AAP @AmitShah \\n#DelhiBurning \\n#DelhiRiots \\nAction after 2 days that too in the Capital of India! Delayed\\u2026 https://t.co/yAfoIQS26w',b'1232290802434478080',b'Mrigya Mukaam',b'mrigya1',b'South Delhi : India',b'live beautifully!\\nNation First! Karmas Second! \\nHealth Third! \\nThink Positively And Do Your Bit!\\nFollow Your Passion And take Care of your Responsibilities!',b'81',b'55',b'0',b'1815',b'5536',b'False',b'False',b'True',b'False',b'2011-03-02 09:16:57'
"b'\\u091f\\u094d\\u0930\\u092e\\u094d\\u092a \\u0915\\u0947 \\u0906\\u0928\\u0947 \\u092a\\u0930 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u0915\\u0941\\u091b \\u091c\\u0917\\u0939\\u094b\\u0902 \\u0915\\u094b ""\\u0938\\u091c\\u093e\\u092f\\u093e"" \\u0917\\u092f\\u093e \\u0939\\u0948\\n\\n\\u091f\\u094d\\u0930\\u092e\\u094d\\u092a \\u0915\\u0947 \\u091c\\u093e\\u0928\\u0947 \\u0915\\u0947 \\u092c\\u093e\\u0926 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u0915\\u0941\\u091b \\u0932\\u094b\\u0917\\u094b\\u0902 \\u0915\\u094b ""\\u0938\\u0941\\u091c\\u093e\\u092f\\u093e"" \\u091c\\u093e\\u090f\\u2026 https://t.co/HZIxylvdka'",b'1232290802023272448',b'abhi rajputra',b'apna_mp_',b'',b'Guna India',b'377',b'1309',b'0',b'1285',b'9248',b'False',b'False',b'True',b'False',b'2019-01-05 16:41:27'
b'Pakistan is taking all steps to end the terrorism created by Indian Agency RAW in the region while terrorist Modi i\\u2026 https://t.co/rYxIuHAfbr',b'1232290800714813441',b'Zaib Shafi',b'ZaibshafiPK',"b'Islamabad, Pakistan'",b'PAKISTAN',b'250',b'890',b'0',b'6037',b'5095',b'False',b'False',b'False',b'False',b'2013-10-12 08:54:39'
b'Lmao Indian reporters tried their best to get Trump to criticise Pakistan in the press conference but not to be. It\\u2026 https://t.co/igbsSDe3k3',b'1232290787636977665',b'War Daddy',b'uzairjaat',"b'London, England'",b'Human Rights Lawyer \\U0001f468\\U0001f3fb\\u200d\\U0001f393 #WLondon #Politics #Military #History #Patriotism \\U0001f47b uzairch47',b'6131',b'5496',b'40',b'71282',b'16210',b'False',b'False',b'False',b'False',b'2011-10-23 23:24:35'
"b'\\u0936\\u093e\\u0939\\u0940\\u0928 \\u092c\\u093e\\u0917 \\u0906\\u0902\\u0926\\u094b\\u0932\\u0928 \\u0915\\u094b \\u0938\\u093f\\u0916\\u094b\\u0902 \\u0915\\u093e \\u0928\\u0948\\u0924\\u093f\\u0915 \\u0938\\u092e\\u0930\\u094d\\u0925\\u0928 \\u0914\\u0930 \\u0932\\u0902\\u0917\\u0930 \\u091a\\u0932\\u0928\\u093e, ""\\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0935\\u093e\\u0926\\u093f\\u092f\\u094b"" \\u0915\\u094b \\u0928\\u093e\\u0917\\u0935\\u093e\\u0930 \\u0917\\u0941\\u091c\\u0930\\u093e\\u0964\\n\\u092d\\u091c\\u0928\\u092a\\u0941\\u0930\\u093e \\u092e\\u0947 \\u0938\\u093f\\u0916\\u094b\\u0902 \\u0915\\u0940 \\u0926\\u0941\\u0915\\u093e\\u2026 https://t.co/aWzUwjs7kJ'",b'1232290787385208833',b'\\u091c\\u0928\\u0930\\u0932 \\u0928\\u0930\\u092d\\u0915\\u094d\\u0937\\u0940\\u2122',b'GDnarbhakshi',b'',b'\\u0939\\u092e \\u0926\\u0947\\u0936\\u092d\\u0915\\u094d\\u0924\\u093f \\u0915\\u0947 \\u0938\\u0930\\u094d\\u091f\\u093f\\u092b\\u093f\\u0915\\u0947\\u091f \\u092c\\u093e\\u0902\\u091f\\u0924\\u0947 \\u0939\\u0948\\u0902\\u0964 \\u090f\\u0915 \\u092e\\u0941\\u091a\\u094d\\u091b\\u095c \\u0939\\u092e\\u093e\\u0930\\u093e \\u092d\\u0947\\u0937 \\u092c\\u0928\\u093e\\u0915\\u0930 \\u0905\\u0915\\u094d\\u0938\\u0930 \\u091f\\u0940\\u0935\\u0940 \\u092a\\u0930 \\u0926\\u093f\\u0916\\u0924\\u093e \\u0939\\u0948\\u0964\\n99% follow back (Parody Ac.)',b'1935',b'219',b'2',b'5745',b'13824',b'False',b'False',b'True',b'False',b'2019-11-28 01:20:23'
b'There should be shoot at sight order now.\\n  #DelhiRiots #DelhiBurning',b'1232290785393025024',b'Harshal',b'View2Day',b'RT and Links not Endorsement',"b'karma believer, \\ncurious, \\nNews-O-Holic,Politics Observer,\\nIndia first ALWAYS !!\\nLive n let Live !'",b'99',b'222',b'3',b'6481',b'2464',b'False',b'False',b'True',b'False',b'2015-03-28 07:14:26'
b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u0947 \\u0939\\u093f\\u0902\\u0926\\u0941\\u0913\\u0902 \\u0915\\u094b \\u092d\\u0917\\u0935\\u093e\\u0928 \\u0936\\u094d\\u0930\\u0940 \\u0930\\u093e\\u092e \\u0915\\u0947 \\u0938\\u093e\\u0925 \\u0938\\u093e\\u0925 \\u092d\\u0917\\u0935\\u093e\\u0928 \\u092a\\u0930\\u0936\\u0941\\u0930\\u093e\\u092e \\u091c\\u0940 \\u0915\\u093e \\u092d\\u0940 \\u0938\\u092e\\u0930\\u0923 \\u0935 \\u092a\\u0942\\u091c\\u093e \\u0915\\u0930\\u0928\\u0940 \\u091a\\u093e\\u0939\\u093f\\u090f \\u0964\\n\\u092c\\u094b\\u0932\\u094b \\u091c\\u092f \\u0936\\u094d\\u0930\\u0940 \\u0930\\u093e\\u092e \\n\\u091c\\u092f\\u2026 https://t.co/P5YJEdOyAO',b'1232290784918900736',b'Jai Bhagwan Goyal',b'JaiBhagwanGoyal',"b'New Delhi, India'","b'This is the Official Account Of Shri Jai Bhagwan Goyal Working President, United Hindu Front. \\nSenior Leader, Bhartiya Janta Party.'",b'59509',b'10330',b'93',b'1236',b'4',b'False',b'False',b'False',b'False',b'2016-12-27 08:28:27'
b'\\u091c\\u0928\\u0924\\u0902\\u0924\\u094d\\u0930\\u093f\\u0915 \\u092d\\u093e\\u0930\\u0924 \\u092e\\u0947\\u0902 \\u092f\\u0939 \\u0928\\u0939\\u0940 \\u0938\\u0941\\u0928\\u093e \\u0915\\u093f \\u0915\\u093f\\u0938\\u0940 \\u092e\\u0902\\u0926\\u093f\\u0930 \\u092a\\u0930 \\u0907\\u0938 \\u0926\\u0947\\u0936 \\u092e\\u0947\\u0902 \\u0907\\u0938\\u094d\\u0932\\u093e\\u092e \\u0915\\u093e \\u091d\\u0902\\u0921\\u093e \\u092b\\u0939\\u0930\\u093e\\u092f\\u093e \\u0917\\u092f\\u093e \\u0939\\u094b \\u0932\\u0947\\u0915\\u093f\\u0928 \\u0906\\u0930\\u090f\\u0938\\u090f\\u0938/ \\u092d\\u093e\\u091c\\u092a\\u093e \\u0915\\u0947 \\u0936\\u093e\\u0938\\u0928\\u2026 https://t.co/8SCQwCOqnJ',b'1232290781043593220',b'ALTAF',b'ALTAF71663742',b'',b'',b'54',b'261',b'0',b'1507',b'920',b'False',b'False',b'True',b'False',b'2019-12-16 15:32:37'
"b'\\u0915\\u0947\\u091c\\u0930\\u0940\\u0935\\u093e\\u0932 \\u091c\\u0940, \\u0905\\u0917\\u0930 \\u0927\\u0930\\u0928\\u093e \\u0939\\u0940 \\u0915\\u0930\\u0928\\u093e \\u0925\\u093e \\u0935\\u094b \\u0924\\u094b \\u0906\\u092a \\u0935\\u093f\\u092a\\u0915\\u094d\\u0937 \\u092e\\u0947\\u0902 \\u0930\\u0939\\u0915\\u0930 \\u092d\\u0940 \\u0915\\u0930 \\u0938\\u0915\\u0924\\u0947 \\u0925\\u0947\\u0964 \\u0906\\u092a \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u0947 \\u092e\\u0941\\u0916\\u094d\\u092f\\u092e\\u0902\\u0924\\u094d\\u0930\\u0940 \\u0939\\u0948 \\u0914\\u0930 \\u092e\\u0941\\u0916\\u094d\\u092f\\u092e\\u0902\\u0924\\u094d\\u0930\\u0940\\u2026 https://t.co/6X07Mp87jL'",b'1232290767747420162',b'Bilal khan',b'bilalkhan954',"b'Delhi, India'",b'Secular Indian',b'3225',b'325',b'18',b'19015',b'13264',b'False',b'False',b'True',b'False',b'2015-08-01 13:26:36'
"b'Congratulations to Prime Time worriers; constantly debating Hindu - Musli\\n\\nYou and your hateful agenda is winning,\\u2026 https://t.co/njBvJC3fnm'",b'1232290767697104897',b'#JanaGanaMana \\U0001f1ee\\U0001f1f3',b'JanaGanaMana9PM',b'india',b'Injustice or perceived injustice is root of all violence. My fight is against injustice and preventing violence/hatred.',b'73',b'135',b'0',b'7602',b'6057',b'False',b'False',b'True',b'False',b'2009-10-12 07:55:35'
