b'@aviralm1 Im not. Im sure it was pro caa. Does he have the balls to say that ? Aapko bhi pata hai full delhi thinks\\u2026 https://t.co/RNqomoco04',b'1231938245421719552',b'Ud.B',b'BhagwaSalaam',b'New Delhi',"b'Politics, Cricket, Food, Organic Synthesis, Python, Perl, and Thermodynamics. In no particular order.'",b'211',b'909',b'6',b'30876',b'56025',b'False',b'False',b'False',b'False',b'2013-07-01 10:27:26'
b'Police lathi charge anti CAA protesters while Pro CAA goons throw stones and set shops on fire along with the polic\\u2026 https://t.co/Z7sk91l5rO',b'1231938212073017345',b'Farhan Khan',b'imfarkhan',"b'New Delhi, India'",b'Petrichor \\u2764\\ufe0f',b'17',b'34',b'0',b'968',b'356',b'False',b'False',b'True',b'False',b'2018-11-29 18:13:12'
b'@VishalK03006226 @GauravModified Ye so called pro CAA team member hain!  BTW must be a minor like always.',b'1231938169421148162',b'ashutosh joshi',b'toshjoshi',b'New Delhi',b'At UnCommonSense Films. Chief Dreamer. **featured in Apple World Gallery 2016. **',b'902',b'406',b'44',b'6426',b'2604',b'False',b'False',b'False',b'False',b'2009-12-21 03:04:53'
b'@sardanarohit Arrey rohit bhaiya\\n\\nHe is a pro caa man who with Delhi police is thrashing those Shaheen Bagh people.\\n@JamaliNahela',b'1231938168368357376',b'Kunal Singh Solanki',b'_ksSolanki',"b'Banswara, Rajasthan, India'","b""Let's do,what we are denying since/ \\u092d\\u0915\\u094d\\u0924 can also follow/Civil Engineer/LIBERAL backed by CONSERVATIVE thoughts/Official account--Tweets are signed & archived""",b'157',b'230',b'2',b'13417',b'10211',b'False',b'False',b'False',b'False',b'2015-03-06 14:35:06'
b'Things are extremely tense in Maujpur-Jaffrabad. \\n\\nHere is a video I clicked at 3.14 pm at Maujpur Chowk where I sa\\u2026 https://t.co/gIwlJvWfAM',b'1231938154086772736',b'Shahrukh Razvi makrana \\u0634\\u0627\\u06c1 \\u0631\\u062e \\u0631\\u0636\\u0648\\u06cc',b'shahrukhrazvi',b'makrana Rajasthan ',b'\\u0935\\u0939 \\u0907\\u0902\\u0938\\u093e\\u0928 \\u0939\\u0940 \\u0928\\u0939\\u0940\\u0902 \\u091c\\u094b \\u0907\\u0902\\u0938\\u093e\\u0928\\u093f\\u092f\\u0924 \\u0915\\u093e \\u0926\\u0930\\u094d\\u0926 \\u0928 \\u0938\\u092e\\u091d\\u0947',b'464',b'2517',b'0',b'4061',b'9655',b'False',b'False',b'False',b'False',b'2011-08-27 05:31:53'
b'@ParveenKader @sweposten @aayeff1 @RajChou37373660 @asmatasleem11 @Aafrin7866 @sheelmathew @ShababRabbani1\\u2026 https://t.co/pgMyzRkllc',b'1231938105831280642',b'Aslam Baig \\u0627\\u0633\\u0644\\u0645',b'Aslam_Baig_Mirz',b'Gandhinagar Gujarat India',b'DyCTI western railway;\\nMember Legal (IRTCSO National);\\nJoint Secretary (IRTCSO WR)\\nAnalyst by education',b'3251',b'2809',b'30',b'40224',b'123881',b'False',b'False',b'True',b'False',b'2013-09-14 17:29:42'
"b'@BDUTT Bloody biased. Anti India Anti Hindu anti BJP , why you said Pro CAA. All the trouble caused by your anti CAA supports. \\U0001f621'",b'1231938076324323328',b'Jay Patel',b'JayPatel_Tata',b'South Africa. ',"b'A True Hindustani, Living in CapeTown.'",b'275',b'633',b'1',b'4719',b'9312',b'False',b'False',b'True',b'False',b'2011-09-12 14:58:35'
b'Shocking &amp; Sad; Mob celebrates in jubilation the burning of an Islamic shrine in Delhi today. According to locals p\\u2026 https://t.co/B3BRe4Mrj8',b'1231938045647015936',b'Salman Nizami',b'SalmanNizami_',b'',b'@INCindia Politician / Writer /Gandhian by heart/ Nehruvian\\nby Soul/ Indian \\U0001f1ee\\U0001f1f3  by blood.',b'56237',b'2563',b'158',b'22744',b'21192',b'True',b'False',b'False',b'False',b'2009-10-19 12:20:04'
"b'@BDUTT Truth is that,\\n\\nAnti CAA protesters pelt stones on Pro CAA protesters.\\n\\n\\u0914\\u0930 \\u0939\\u093e\\u0902 \\u0906\\u092a \\u0924\\u094b \\u092c\\u094b\\u0932\\u094b \\u0939\\u0940 \\u092e\\u0924 \\u092c\\u0939\\u0928\\u093e \\u0906\\u092a\\u0915\\u094b \\u0924\\u094b\\u2026 https://t.co/N2y4uWysxb'",b'1231938032070119425',b'\\U0001f1ee\\U0001f1f3 SUDIP YADAV \\U0001f1ee\\U0001f1f3',b'sudip_ind',b'\\u0939\\u093f\\u0902\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928',"b'Nation First,\\nStand Up For What You Believe In,Even If It Means Standing Alone,\\nFollower Of Subhash Chandra bose, ideology,\\n\\u092f\\u093e\\u0926\\u0935 \\u0939\\u0942\\u0901,\\u0932\\u0947\\u0915\\u093f\\u0928 \\u091c\\u093e\\u0924\\u093f\\u0935\\u093e\\u0926\\u0940 \\u0928\\u0939\\u0940,\\n{FOE}'",b'1128',b'89',b'4',b'43588',b'89575',b'False',b'False',b'True',b'False',b'2015-11-24 16:03:28'
"b'@BDUTT @BDUTT these guys are not pro CAA , there are many like us fighting misinformation related to CAA, we are\\u2026 https://t.co/1iq2D3L6mw'",b'1231938020875603968',b'vineet vinoy',b'vvinoy',"b'Dauram Madhepura, India'","b'#rantsofarookie,  by a rookie.'",b'36',b'159',b'0',b'3499',b'1550',b'False',b'False',b'True',b'False',b'2009-11-12 11:09:56'
