b'\\u092e\\u094b\\u0939\\u092c\\u094d\\u092c\\u0924 \\u0915\\u0940 \\u0928\\u093f\\u0936\\u093e\\u0928\\u0940 \\u0924\\u094b \\u0917\\u0941\\u092b\\u093e\\u090f\\u0902 \\u092d\\u0940 \\u0925\\u0940 ?\\n\\u0932\\u0947\\u0915\\u093f\\u0928 \\u0926\\u093f\\u0916\\u093e\\u0928\\u093e \\u0924\\u093e\\u091c\\u092e\\u0939\\u0932 \\u0939\\u0940 \\u092a\\u0921\\u093c \\u0930\\u0939\\u093e \\u0939\\u0948\\u0902... \\U0001f61c\\n#IvankaTrump https://t.co/GnRkaran9p',b'1232217526286921730',b'Atharva Raj',b'atharvrajpanday',"b'\\u0935\\u093e\\u0930\\u093e\\u0923\\u0938\\u0940, \\u092d\\u093e\\u0930\\u0924 '","b'll Ministry of Jal Shakti, DoWR,RD,GR ll #\\u0917\\u0902\\u0917\\u093e\\u092a\\u094d\\u0930\\u0939\\u0930\\u0940 ll #NamamiGange ll @ABVPVoice ll #\\u092c\\u093e\\u0932\\u0938\\u094d\\u0935\\u092f\\u0902\\u0938\\u0947\\u0935\\u0915 ll @RSSorg ll #\\u092c\\u0928\\u093e\\u0930\\u0938\\u0940 ll'",b'2090',b'1389',b'39',b'22976',b'28185',b'False',b'False',b'False',b'False',b'2012-05-25 02:53:47'
b'#TrumpInIndia #TrumpIndiaVisit #TrumpModiElectionStunt #Trump #Trumpspeech #PMModi #BJP #IvankaTrump #Ivanka #India\\u2026 https://t.co/7RkurdD3g4',b'1232217263077412866',b'muralikrishna. Midididdi',b'mk_midididdi',b'REBBAVARAM',b'\\u0c2e\\u0c02\\u0c1a\\u0c3f\\u0c24\\u0c28\\u0c3e\\u0c28\\u0c3f\\u0c15\\u0c3f \\u0c08\\u0c30\\u0c4b\\u0c1c\\u0c41\\u0c32\\u0c4d\\u0c32\\u0c4b \\u0c2e\\u0c28\\u0c02 \\u0c2e\\u0c02\\u0c1a\\u0c3f \\u0c1a\\u0c47\\u0c38\\u0c3f\\u0c28\\u0c3e \\u0c2e\\u0c28\\u0c15\\u0c41 \\u0c2e\\u0c02\\u0c1a\\u0c3f \\u0c1a\\u0c47\\u0c2f\\u0c21\\u0c02 \\u0c32\\u0c47\\u0c26\\u0c41 \\u0c0e\\u0c35\\u0c30\\u0c41 \\u0c05\\u0c02\\u0c26\\u0c41\\u0c15\\u0c47 \\u0c0e\\u0c35\\u0c30\\u0c3f\\u0c15\\u0c3f \\u0c35\\u0c3e\\u0c30\\u0c41 \\u0c35\\u0c3e\\u0c33\\u0c4d\\u0c32 \\u0c38\\u0c4d\\u0c35\\u0c3e\\u0c30\\u0c4d\\u0c25\\u0c02 \\u0c15\\u0c4b\\u0c38\\u0c02 \\u0c2c\\u0c24\\u0c41\\u0c15\\u0c41\\u0c24\\u0c41\\u0c28\\u0c4d\\u0c28\\u0c3e\\u0c30\\u0c41..... \\u0c26\\u0c47\\u0c35\\u0c41\\u0c21\\u0c41 \\u0c0e\\u0c2a\\u0c4d\\u0c2a\\u0c1f\\u0c3f\\u0c15\\u0c48\\u0c28\\u0c3e \\u0c2e\\u0c28\\u0c15\\u0c3f  \\u0c2e\\u0c02\\u0c1a\\u0c3f \\u0c1a\\u0c47\\u0c38\\u0c4d\\u0c24\\u0c3e\\u0c21\\u0c41.',b'8',b'101',b'0',b'57',b'41',b'False',b'False',b'True',b'False',b'2016-03-15 13:05:52'
b'\\u0bae\\u0bbe\\u0b9f\\u0bb2\\u0bbf\\u0b99\\u0bcd \\u0ba4\\u0bc1\\u0bb1\\u0bc8\\u0baf\\u0bbf\\u0bb2\\u0bcd \\u0b9a\\u0bbf\\u0bb1\\u0b95\\u0b9f\\u0bbf\\u0ba4\\u0bcd\\u0ba4 \\u0b9f\\u0bbf\\u0bb0\\u0bae\\u0bcd\\u0baa\\u0bcd \\u0bae\\u0b95\\u0bb3\\u0bcd \\u0b87\\u0bb5\\u0bbe\\u0b99\\u0bcd\\u0b95\\u0bbe! \\u0bb5\\u0bbf\\u0ba4\\u0bb5\\u0bbf\\u0ba4\\u0bae\\u0bbe\\u0ba9 \\u0bb9\\u0bbe\\u0b9f\\u0bcd \\u0b89\\u0b9f\\u0bc8\\u0baf\\u0bbf\\u0bb2\\u0bcd \\u0ba4\\u0bcb\\u0ba9\\u0bcd\\u0bb1\\u0bbf\\u0baf \\u0baa\\u0bc1\\u0b95\\u0bc8\\u0baa\\u0bcd\\u0baa\\u0b9f \\u0ba4\\u0bca\\u0b95\\u0bc1\\u0baa\\u0bcd\\u0baa\\u0bc1!\\n\\n#IvankaTrump\\u2026 https://t.co/Svmd4S09JI',b'1232216929961570304',b'Asianet News Tamil',b'asianet_tamil',"b'Chennai, India'",b'Top Tamil News Portal - A one-stop shop for all news from Tamil Nadu & Puducherry with a unique Tamil perspective. Part of Asianet News Network.',b'15892',b'215',b'34',b'71465',b'5',b'True',b'False',b'True',b'False',b'2016-06-03 10:49:08'
b'Trump visit to india was predicted by @TMKOC_NTF a long time ago.\\n\\n#TrumpInIndia #TrumpIndiaVisit #IvankaTrump\\u2026 https://t.co/rBtXc3toeA',b'1232216450661744640',b'Subham mukherjee',b'msubham03',"b'New Delhi, India'",b'Smiling may not solve the problem but will help you tackle it.',b'36',b'168',b'0',b'567',b'55',b'False',b'False',b'False',b'False',b'2012-12-30 16:03:24'
b'#TajMahal #IvankaTrump \\u2764\\ufe0f\\U0001f90d\\U0001f54a https://t.co/GnhtszetpX',b'1232215470817697792',b'beautiful_to_life \\U0001f385\\U0001f3fc\\U0001f1f3\\U0001f1ff\\U0001f1fa\\U0001f1f8#kiwielf',b'flissdesigns',b'New Zealand (Under the Dome) ',b'bringing beautiful to life...\\u201dI look forward to an America which will not be afraid of grace and beauty\\u201d- JFK  \\u271d\\ufe0f \\U0001f64f\\U0001f3fc\\U0001f385\\U0001f3fc\\U0001f936\\U0001f3fb#WWG1WGA #Q #Q+ #BigRedWaveNow',b'2063',b'1779',b'4',b'15575',b'64477',b'False',b'False',b'True',b'False',b'2013-06-20 09:56:07'
"b'#CMKCR Unique Gift To #DonaldTrump, Family #Telangana #MelaniaTrump #IvankaTrump\\nhttps://t.co/AmmG3nnXXx'",b'1232215461841866753',b'Sakshi Post',b'SakshiPost',"b'Hyderabad, India'","b'Online English news portal of the Sakshi Media Group. International, National, State news, Retweets are not endorsements.'",b'2325',b'31',b'139',b'75859',b'117',b'False',b'False',b'False',b'False',b'2012-08-07 05:22:27'
b'@PMOIndia @HMOIndia @POTUS\\n#simple #smiles #IvankaTrump\\n#TrumpInIndia #MoteraStadium\\n#TajMahal #IndiaWelcomesTrump\\u2026 https://t.co/oPkm1jQG6W',b'1232214289932525568',b'VIJAY TIWARI / Voice Of Public \\U0001f5e3\\ufe0f\\U0001f50a',b'VijayPrayagraj',b'\\U0001f6ebPrayagraj\\U0001f6ecLucknow\\U0001f6ebGujarat',"b""#Ideology can be #Different ,But #Respecting all #People is our #Religion,\\n#Proud_Of_Indian #News, #Satire\\n#SocialMedia #Tweets personal.don't take to heart\\u2665\\ufe0f""",b'4483',b'613',b'8',b'130666',b'280325',b'False',b'False',b'True',b'False',b'2015-02-06 09:56:52'
"b""\\u0cac\\u0ccd\\u0cb0\\u0cc7\\u0c95\\u0cbf\\u0c82\\u0c97\\u0ccd \\u0ca8\\u0ccd\\u0caf\\u0cc2\\u0cb8\\u0ccd; ''\\u0c95\\u0cb3\\u0cc6\\u0ca6 8 \\u0ca4\\u0cbf\\u0c82\\u0c97\\u0cb3\\u0cb2\\u0ccd\\u0cb2\\u0cbf 5\\u0ca8\\u0cc7 \\u0cac\\u0cbe\\u0cb0\\u0cbf \\u0cad\\u0cc7\\u0c9f\\u0cbf\\u0caf\\u0cbe\\u0c97\\u0cc1\\u0ca4\\u0ccd\\u0ca4\\u0cbf\\u0ca6\\u0ccd\\u0ca6\\u0cc7\\u0cb5\\u0cc6. \\u0c9f\\u0ccd\\u0cb0\\u0c82\\u0caa\\u0ccd \\u0ca4\\u0cae\\u0ccd\\u0cae \\u0caa\\u0cb0\\u0cbf\\u0cb5\\u0cbe\\u0cb0\\u0ca6 \\u0c9c\\u0cca\\u0ca4\\u0cc6 \\u0c86\\u0c97\\u0cae\\u0cbf\\u0cb8\\u0cbf\\u0cb0\\u0cc1\\u0cb5\\u0cc1\\u0ca6\\u0cc1 \\u0cb8\\u0c82\\u0ca4\\u0cb8 \\u0ca4\\u0c82\\u0ca6\\u0cbf\\u0ca6\\u0cc6\\u2026 https://t.co/fldjNqdBKu""",b'1232214012844105728',b'Vijay Karnataka',b'Vijaykarnataka',b'Bangalore',"b'Official Twitter Account of VK, PRIDE OF YOUNG KARNATAKA, A Times Internet Product | @Timesinternet'",b'83329',b'414',b'115',b'107477',b'81',b'True',b'False',b'False',b'False',b'2012-02-16 13:42:45'
"b'\\u0b87\\u0bb0\\u0bc1 \\u0ba8\\u0bbe\\u0b9f\\u0bc1\\u0b95\\u0bb3\\u0bcd, \\u0b92\\u0bb0\\u0bc7 \\u0b86\\u0b9f\\u0bc8: \\u0b85\\u0bae\\u0bc6\\u0bb0\\u0bbf\\u0b95\\u0bcd\\u0b95 \\u0b85\\u0ba4\\u0bbf\\u0baa\\u0bb0\\u0bcd \\u0b9f\\u0bcd\\u0bb0\\u0bae\\u0bcd\\u0baa\\u0bcd \\u0bae\\u0b95\\u0bb3\\u0bcd \\u0b87\\u0bb5\\u0bbe\\u0b99\\u0bcd\\u0b95\\u0bbe \\u0b92\\u0bb0\\u0bc7 \\u0b9f\\u0bbf\\u0bb8\\u0bc8\\u0ba9\\u0bcd \\u0b86\\u0b9f\\u0bc8\\u0baf\\u0bbf\\u0bb2\\u0bcd \\u0b87\\u0bb0\\u0bc1\\u0b95\\u0bcd\\u0b95\\u0bc1\\u0bae\\u0bcd \\u0b87\\u0bb0\\u0bc1 \\u0baa\\u0b9f\\u0b99\\u0bcd\\u0b95\\u0bb3\\u0bc8 \\u0b95\\u0bb5\\u0ba9\\u0bbf\\u0baf\\u0bc1\\u0b99\\u0bcd\\u0b95\\u0bb3\\u0bcd. \\u0bae\\u0bc1\\u2026 https://t.co/47clQCN3d0'",b'1232213966794838016',b'IE Tamil',b'IeTamil',b'',b'Tamil edition of https://t.co/njoyTJGked',b'7160',b'917',b'31',b'27912',b'9',b'True',b'False',b'False',b'False',b'2017-04-05 12:58:27'
b'Welcome #IvankaTrump to #TajMahal . https://t.co/Bjl4rquSCJ https://t.co/vm2iY9ISmV',b'1232213935513886720',b'Sajid hushain',b'sajidhushain28',b'Invertis university Bareilly',b'\\U0001f642\\nWorking for family',b'38',b'69',b'0',b'5746',b'35575',b'False',b'False',b'False',b'False',b'2013-11-23 17:16:45'
