b'#DelhiBurning \\n#Jafrabad \\n#Maujpur \\n#ShaheenBagh \\n#JamiaMilliaIslamia \\n#JNU \\n#ShameOnDelhiPolice\\u2026 https://t.co/aKRvGca3jB',b'1232081540135305217',b'shadab raza',b'pareshan_archi',b'new delhi',b'architect under construction',b'139',b'374',b'0',b'6446',b'1987',b'False',b'False',b'False',b'False',b'2009-12-20 20:18:21'
b'Please join in large numbers to question Arvind Kejriwal about his silence on Brutal violence and Delhi Police inac\\u2026 https://t.co/qPcU7JRq4k',b'1232080883001090048',b'United Against Hate',b'UAH_India',"b'New Delhi, India'",b'#UnitedAgainstHate #\\u0916\\u093c\\u094c\\u092b\\u093cse\\u0906\\u091c\\u093c\\u093e\\u0926\\u0940',b'16355',b'150',b'19',b'1737',b'654',b'False',b'False',b'False',b'False',b'2017-08-04 06:10:18'
b'Delhi Jalne Lag K 12 hour Hore Mgr @PMOIndia @narendramodi @AmitShah Ka Koi Bayan Ny Aya Ab Tak #DelhiBurning Ke Pi\\u2026 https://t.co/xnpRgkqExo',b'1232080842941272065',b'Mohammed Zubair Ali',b'zubair7673',"b'\\u062d\\u06cc\\u062f\\u0631 \\u0622\\u0628\\u0627\\u062f, Telangana '","b'Shayar-Poet,\\nTehreek Inquilab-E-Musalman\\nPoliticaian (DPI) Democratic People Of India\\nHyderabad Telangana'",b'54',b'332',b'1',b'535',b'1267',b'False',b'False',b'True',b'False',b'2014-06-04 16:11:20'
b'Please join in large numbers to question Arvind Kejriwal about his silence on Brutal violence and Delhi Police inac\\u2026 https://t.co/vSvr6t7PxH',b'1232080802642423808',b'Khalid Saifi',b'KSaifi',b'New Delhi',"b'Simple Allah fearing Muslim guy. More over I am Jack of all trade, Master of None. #UnitedAgainstHate'",b'4703',b'1046',b'15',b'26179',b'4774',b'False',b'False',b'True',b'False',b'2011-05-14 12:40:50'
"b'\\u091c\\u092c \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u091c\\u0932 \\u0930\\u0939\\u0940 \\u0925\\u0940,NaMo \\u091f\\u094d\\u0930\\u0902\\u092a \\u0915\\u0947 \\u0938\\u093e\\u0925 \\u092c\\u093e\\u0901\\u0938\\u0941\\u0930\\u0940 \\u092c\\u091c\\u093e \\u0930\\u0939\\u093e \\u0925\\u093e ..\\U0001f44e\\U0001f923\\n@DelhiPolice @AAPDelhi \\n#DelhiRiots #DelhiBurning'",b'1232080766412230657',b'Narendra Nepali',b'NarendraNepal13',b'',"b'\\u0936\\u093f\\u0935 \\u092d\\u0915\\u094d\\u0924 .\\u0938\\u093e\\u0939\\u093f\\u0924\\u094d\\u092f \\u092a\\u094d\\u0930\\u0947\\u092e\\u0940, \\u0905\\u092a\\u0928\\u0947 \\u0907\\u0924\\u093f\\u0939\\u093e\\u0938 ...\\u0938\\u0928\\u093e\\u0924\\u0928 \\u0927\\u0930\\u094d\\u092e \\u092a\\u0930 \\u0917\\u0930\\u094d\\u0935 ..\\u0909\\u0926\\u093e\\u0930\\u0935\\u093e\\u0926\\u0940 \\u0938\\u094b\\u091a \\u0938\\u0947 \\u092a\\u094d\\u0930\\u0947\\u0930\\u0923\\u093e.\\u0906\\u091c\\u093e\\u0926,\\u092d\\u0917\\u0924 \\u0938\\u093f\\u0902\\u0917 \\u091c\\u0948\\u0938 \\u0915\\u094d\\u0930\\u093e\\u0902\\u0924\\u093f\\u0915\\u093e\\u0930\\u093f\\u092f\\u094b\\u0902 /\\u0938\\u094d\\u0935\\u093e\\u092e\\u0940 \\u0935\\u093f\\u0935\\u0947\\u0915\\u093e\\u0928\\u0928\\u094d\\u0926\\u091c\\u0940 \\u0915\\u094b \\u0928\\u092e\\u0928 :'",b'5',b'97',b'0',b'229',b'160',b'False',b'False',b'True',b'False',b'2020-01-06 12:52:18'
b'His name is Sharukh khan and he is terrorist #DelhiBurning #DelhiIsBurning https://t.co/Njxu0hpc0n',b'1232080747302998016',b'D H A I R Y A',b'DamnDhairya',b'',b'Doctor \\u2624',b'123',b'708',b'0',b'822',b'6285',b'False',b'False',b'True',b'False',b'2017-03-20 20:45:49'
"b'Indian democracy burning down.\\nRight-wing Hindutva-saviors setting Muslim localities in East Delhi on fire, while t\\u2026 https://t.co/uNczRRdxT8'",b'1232080728638115840',b'Saurabh \\u0964 \\u09b8\\u09cc\\u09b0\\u09ad \\u0964',b'kitchenphysics',"b'Paris, France'",b'Weird.',b'40',b'196',b'0',b'49',b'62',b'False',b'False',b'False',b'False',b'2012-02-12 05:33:40'
"b'Thnkyu @DelhiPolice , Thankyou @BJP4Delhi, ThankYou Amit Shah ThankYou Modi for creating this new India, these \\u201cAcc\\u2026 https://t.co/5yJVVcHWGZ'",b'1232080723852570625',b'Mohammed Anas',b'mdanasafzal',"b'Dammam, Kingdom of Saudi Arabi'",b'Engineer (IT)',b'31',b'79',b'1',b'289',b'198',b'False',b'False',b'True',b'False',b'2013-10-13 20:23:19'
"b""@ShaheenBagh_ @NrcProtest Delhi is burning because of violent clashes between both the sides .I don't get it how it\\u2026 https://t.co/FqC0JcOXxu""",b'1232080654411718656',b'KHANAK',b'TheKhanakBatra',b'Dilli',b'Just another teen complaining about homework',b'92',b'263',b'0',b'94',b'6588',b'False',b'False',b'True',b'False',b'2017-06-14 14:44:27'
b'All the 4 died are Hindus but still Muslims spreading false news on internet about attacks on them.. bastards traitors #DelhiBurning',b'1232080636967628800',b'Ace',b'ameeuk',b'Middle of an Island',b'Working towards my goal of life . On a misssion ......',b'126',b'103',b'13',b'10749',b'22587',b'False',b'False',b'True',b'False',b'2009-07-30 21:00:25'
b'@BDUTT Par hum dikhayenge kaun hai vo...\\n\\nSab post aur retweet karo photo-video #biryani  #tukdetukde gang aur unke\\u2026 https://t.co/3RqsEOjUlM',b'1232080622279122944',b'Bharatputra (Satyamev Jayate)\\u270c',b'Dharma_News',"b'Gujarat, India'","b'Hum kisi se kam nahin\\U0001f5dd\\n\\nUnited we stand to free Hindustanis from the cruel claws of Congis to glorify Bharatmata all over again.\\n\\n\\U0001f4afFollow, Retweet to empower.'",b'376',b'1511',b'0',b'2847',b'4143',b'False',b'False',b'True',b'False',b'2011-12-11 09:59:03'
