"b'A tomb of muslim saint set ablaze by Pro #CAA protestors in Bhajanpura area, stone pelting continues unabated and p\\u2026 https://t.co/SQeLx3KSPE'",b'1231929586298114048',b'Khushboo khan',b'Khushbookhan_',"b'New Delhi, India'","b'Journalist @muslimmirror.com, Jamian \\u2665\\ufe0f\\u270a, Activist, entrepreneur, Student of Sociology, Mediocre Writer, \\n\\nlove is #JMI!\\n\\n(Tweets Strictly Personal)'",b'2327',b'398',b'5',b'3054',b'8008',b'False',b'False',b'False',b'False',b'2012-09-06 10:22:21'
b'We\\nNeed\\nA\\nC\\nT\\nI\\nO\\nN\\nRight now !! \\nThrow these protestors in Jail ! \\n#DelhiPolice #NamasteTrump #CAAProtest',b'1231929579188695046',b'Shweta \\U0001f33b\\U0001f33b',b'notSoSweetLove',b'India',b'Just a Simple Girl with Big Dreams\\u2665\\ufe0f\\nMedico \\U0001fa7a\\U0001f97c',b'1559',b'303',b'23',b'17354',b'14522',b'False',b'False',b'False',b'False',b'2016-05-09 15:08:23'
"b""If @DelhiPolice is unable to take action against these #jihadi than why not ask #Trump to help. He'll clear all the\\u2026 https://t.co/GvNphZ4LeF""",b'1231929484942741504',b'Gaurav Sharda',b'gauravsharda6',"b'Surat, India'","b'Believe in Yourself.\\U0001f607 \\nLove to watch Movies ,Wrestling & listening Music \\u2764 \\nPolitics is my favorite Subject \\n#BJP #Hindu\\U0001f6a9\\n#Modi\\U0001f1ee\\U0001f1f3 Supporter\\U0001f60e'",b'72',b'78',b'1',b'2185',b'499',b'False',b'False',b'False',b'False',b'2012-09-19 09:17:04'
"b'""Radical Islamic Terrorism"" \\U0001f621\\n\\n@DelhiPolice  DCP #Amit_Sharma Ji Shahdara Zone Admitted in #Max_Hospital  in East-D\\u2026 https://t.co/OXUpwvVkFh'",b'1231929422346932225',b'S\\u029c\\u1d07\\u1d0b\\u029c\\u1d00\\u0280 C\\u029c\\u1d00\\u029c\\u1d00\\u029f (B\\u029c\\u1d00\\u1d0b\\u1d1b) \\u2122',b'Shekhar_Chahal_',b'Hindustan ',b'\\u092d\\u093e\\u0930\\u0924 \\u0915\\u093e \\u0905\\u092d\\u093f\\u092e\\u093e\\u0928 \\u0939\\u093f\\u0928\\u094d\\u0926\\u0942 \\u092e\\u093e\\u0924\\u0943\\u092d\\u0942\\u092e\\u093f \\u0915\\u0940 \\u0936\\u093e\\u0928 \\u0939\\u093f\\u0928\\u094d\\u0926\\u0942\\U0001f6a9\\n ||Nationalist ||  || Social Worker || \\n\\n||Proud Indian|| #Modi_Bhakt \\U0001f6a9',b'26271',b'13080',b'5',b'2904',b'125612',b'False',b'False',b'True',b'False',b'2017-06-10 06:25:39'
b'When will u wake up \\n#CAAProtest \\n#CAA_NRC_Protests \\n#supportcaa \\n#IndiaSupportsCAA https://t.co/uurK19GL3K',b'1231929421495332865',b'Tanmay',b'Tanmaymanral1',b'India',b'stand with BJP \\u25cfA guy who don\\u2019t fear to share thoughts and knowledge',b'5',b'48',b'0',b'281',b'88',b'False',b'False',b'True',b'False',b'2019-05-24 21:54:05'
"b'#Rajdhani Jal rahi hai chun chun ke #jativisesh ko target kiya ja raha pathar bazi,aagzni aur sadken band hai,  Plz\\u2026 https://t.co/O3Kkm72xTJ'",b'1231929416676265984',b'Saira qureshi',b'sairatalks',"b'Mumbai, India'",b'Founder @TGWAAWARDS (The Global Women Achiever Awards )  Writer /Director... Ex. Focus Tv News',b'278',b'379',b'2',b'4063',b'6012',b'False',b'False',b'False',b'False',b'2011-10-10 19:45:13'
"b'Someone needs Burnol now too bad. Also, Ajay bisht who removed Taj Mahal from tourism list.  Khoon ke aasu pekay ba\\u2026 https://t.co/gDgncgtzqs'",b'1231929393393668099',b'Syed Asghar',b'sa0074in',"b'Chicago, IL'","b""Healthcare professional.  Proud Indian.  Hate politics of caste, creed, and religion.  RT's are not endorsements.""",b'1387',b'786',b'5',b'18163',b'417',b'False',b'False',b'True',b'False',b'2009-05-27 01:20:05'
"b'Yehi chahte the ye #AntiCAA wale log\\nHinsa, aagjani or maut..\\nJab tak india ko #iraq/#Syria na bana de tab tak inka\\u2026 https://t.co/RlT0ngasgI'",b'1231929388691795968',b'The Political Satire',b'politikalsatire',b'',b'Here for Political Satire/previous account suspended \\U0001f629/supports Nationalist Causes/hates abusers/views are personal/Ask for follow back',b'9',b'150',b'0',b'497',b'76',b'False',b'False',b'True',b'False',b'2019-12-30 12:25:07'
"b'Protests continue at Khureji Khas, east #Delhi, against #CAA\\n#CAAProtest https://t.co/peemuSKY4f'",b'1231929366205976576',b'TOI Delhi',b'TOIDelhi',"b'New Delhi, India'",b'Your city. Your neighborhood. Your block. Covered for you by https://t.co/VSKi1mkZBr',b'46508',b'41',b'313',b'123867',b'72',b'True',b'False',b'False',b'False',b'2009-04-13 13:00:35'
"b'@KapilMishra_IND \\u0938\\u0902\\u0918\\u0940 \\u0906\\u0924\\u0902\\u0915\\u093f\\u092f\\u094b \\u0915\\u0947 \\u0938\\u093e\\u0925 \\u092e\\u093f\\u0932\\u0915\\u0930 \\u0935\\u091c\\u093c\\u0940\\u0930\\u093e\\u092c\\u093e\\u0926 \\u092e\\u0947\\u0902 \\u092a\\u0924\\u094d\\u0925\\u0930\\u092c\\u093e\\u091c\\u0940 \\u0915\\u0930\\u0924\\u0940 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092a\\u0941\\u0932\\u093f\\u0938,\\n\\u0938\\u0930\\u0915\\u093e\\u0930 \\u0906\\u0924\\u0940 \\u091c\\u093e\\u0924\\u0940 \\u0930\\u0939\\u0947\\u0902\\u0917\\u0940 \\u0932\\u0947\\u0915\\u093f\\u0928\\u2026 https://t.co/emIkXXHTz6'",b'1231929357599264768',b'Zakir Ali Tyagi',b'ZakirAliTyagi',"b'New Delhi, India'","b'Journalist,Social Worker,Motivational Speaker and Social Activist,Writer.Fact finder,ground reporter.thank you twitter.'",b'10425',b'337',b'2',b'6007',b'61018',b'False',b'False',b'True',b'False',b'2017-01-25 02:54:42'
