b'\\u067e\\u0627\\u06a9\\u0633\\u062a\\u0627\\u0646 \\u06a9\\u0648 \\u062a\\u0646\\u06c1\\u0627 \\u06a9\\u0631\\u0646\\u06d2 \\u06a9\\u06cc \\u067e\\u0627\\u0644\\u06cc\\u0633\\u06cc \\u0646\\u0627\\u06a9\\u0627\\u0645\\u060c \\u0688\\u0648\\u0646\\u0644\\u0688 \\u0679\\u0631\\u0645\\u067e \\u06a9\\u0627 \\u0628\\u06be\\u0627\\u0631\\u062a \\u0645\\u06cc\\u06ba \\u06a9\\u06be\\u0691\\u06d2 \\u06c1\\u0648\\u06a9\\u0631 \\u067e\\u0627\\u06a9\\u0633\\u062a\\u0627\\u0646 \\u06a9\\u06cc \\u062a\\u0639\\u0631\\u06cc\\u0641\\u06d4\\n\\u0628\\u06be\\u0627\\u0631\\u062a\\u06cc \\u0645\\u06cc\\u0688\\u06cc\\u0627 \\u0628\\u0631\\u062f\\u0627\\u0634\\u062a \\u0633\\u06d2 \\u0628\\u0627\\u2026 https://t.co/cEPx2yEJbQ',b'1232017187864535040',b'\\U0001d40c\\U0001d42e\\U0001d42c\\U0001d42d\\U0001d400\\U0001d427 \\U0001d400\\U0001d41f\\U0001d42b\\U0001d422\\U0001d403\\U0001d422',b'musawersultan16',b'Pakistan',b'Student \\U0001f4da',b'7',b'92',b'0',b'130',b'452',b'False',b'False',b'True',b'False',b'2019-10-10 19:40:22'
"b'\\u0ba4\\u0bb2\\u0bc8\\u0ba8\\u0b95\\u0bb0\\u0bae\\u0bcd \\u0baa\\u0bb1\\u0bcd\\u0bb1\\u0bbf \\u0b8e\\u0bb0\\u0bbf\\u0b95\\u0bbf\\u0bb1\\u0ba4\\u0bc1. \\u0baa\\u0bc7\\u0b9a\\u0bb5\\u0bc7\\u0ba3\\u0bcd\\u0b9f\\u0bbf\\u0baf \\u0b95\\u0baa\\u0bcb\\u0ba4\\u0bbf\\u0baf\\u0bcb, \\u0b85\\u0bae\\u0bc6\\u0bb0\\u0bbf\\u0b95\\u0bcd\\u0b95 \\u0b95\\u0baa\\u0bcb\\u0ba4\\u0bbf\\u0b95\\u0bcd\\u0b95\\u0bc1 \\u0bb5\\u0bbf\\u0bb3\\u0b95\\u0bcd\\u0b95\\u0bc1 \\u0baa\\u0bbf\\u0b9f\\u0bbf\\u0ba4\\u0bcd\\u0ba4\\u0bc1\\u0b95\\u0bcd\\u0b95\\u0bca\\u0ba3\\u0bcd\\u0b9f\\u0bbf\\u0bb0\\u0bc1\\u0b95\\u0bcd\\u0b95\\u0bbf\\u0bb1\\u0bbe\\u0ba9\\u0bcd.\\n\\u0ba4\\u0bc2...\\U0001f5e3\\ufe0f\\n\\n#DelhiBurning'",b'1232017187855949824',b'Mohan \\u0ba4\\u0bae\\u0bbf\\u0bb4\\u0ba9\\u0bcd \\u2665\\ufe0f',b'mokutweetz',b'',b'\\u0ba4\\u0bae\\u0bbf\\u0bb4\\u0bcd \\u0ba4\\u0bc7\\u0b9a\\u0bbf\\u0baf\\u0bae\\u0bcd | \\u0ba4\\u0bae\\u0bbf\\u0bb4\\u0bcd \\u0b88\\u0bb4\\u0bae\\u0bcd | \\u0ba4\\u0bae\\u0bbf\\u0bb4\\u0bb0\\u0bcd \\u0ba8\\u0bbe\\u0b9f\\u0bc1 | \\u0baa\\u0bbf\\u0bb0\\u0baa\\u0bbe\\u0b95\\u0bb0\\u0ba9\\u0bcd | \\u0ba4\\u0bae\\u0bbf\\u0bb4\\u0ba9\\u0bcd \\U0001f525 \\u0b95\\u0bb2\\u0bcd \\u0ba4\\u0bcb\\u0ba9\\u0bcd\\u0bb1\\u0bbf \\u0bae\\u0ba3\\u0bcd \\u0ba4\\u0bcb\\u0ba9\\u0bcd\\u0bb1\\u0bbe \\u0b95\\u0bbe\\u0bb2\\u0ba4\\u0bcd\\u0ba4\\u0bc1 \\u0bae\\u0bc2\\u0ba4\\u0bcd\\u0ba4 \\u0b95\\u0bc1\\u0b9f\\u0bbf \\u0ba4\\u0bae\\u0bbf\\u0bb4\\u0bcd \\u0b95\\u0bc1\\u0b9f\\u0bbf \\u2665\\ufe0f',b'2426',b'193',b'1',b'16932',b'28672',b'False',b'False',b'True',b'False',b'2018-04-14 07:26:42'
b'Be scared people. Be very very scared. Not of these people but of the hatred than runs in us now. #DelhiBurning https://t.co/yNBfXZj6sN',b'1232017169027719168',b'Dr. Suchi Gaur',b'sg4devpt',"b'Geneva, Switzerland'","b'-This is a new bio, not a new person- All views personal. #Feminist #Fulbright #Doctorate #Storyteller #AdrakWaliChai #Oxymoron #Poet \\U0001f468\\U0001f3fc\\u200d\\U0001f3a4\\U0001f9b8\\U0001f3fd\\u200d\\u2640\\ufe0f\\U0001f931\\U0001f3fb\\U0001f469\\U0001f3fb\\u200d\\U0001f393'",b'1272',b'778',b'37',b'16934',b'7101',b'False',b'False',b'False',b'False',b'2011-02-22 06:55:12'
b'Waiting for the morning headlines of  big named newspaper. Reality would be expected #Trumpshow Vs #DelhiBurning',b'1232017158017699840',b'devanand gangboir',b'devanandgangbo1',b'India',b'Nitian.Tweet what u want to change with.\\n\\u0938\\u0924\\u094d\\u092f\\u092e\\u0947\\u0935 \\u091c\\u092f\\u0924\\u0947 \\u0928\\u093e\\u0928\\u0943\\u0924\\u093e\\u092e!',b'21',b'11',b'0',b'501',b'543',b'False',b'False',b'True',b'False',b'2014-08-02 13:20:01'
b'Sab yaad rakha jayega....Sab kuch yaad rakha jayega!!!!\\n#DelhiBurning \\n#DelhiPolice',b'1232017158001086471',b'CA Shahzad Ur Rahman\\u0634\\u06c1\\u0632\\u0627\\u062f \\u0627\\u0644\\u0631\\u062d\\u0645\\u0627\\u0646',b'ca_shaz',"b'Al Khobar, KSA'","b'\\u0915\\u0939\\u093e\\u0901 \\u0915\\u0947 \\u092e\\u0941\\u0938\\u094d\\u0932\\u093f\\u092e \\u0915\\u0939\\u093e\\u0901 \\u0915\\u0947 \\u0939\\u093f\\u0928\\u094d\\u0926\\u0942\\u0901, \\u092d\\u0941\\u0932\\u093e\\u0908 \\u0939\\u0948\\u0902 \\u0938\\u092c \\u0928\\u0947 \\u0905\\u0917\\u0932\\u0940 \\u0930\\u0938\\u094d\\u092e\\u0947\\u0902!! \\u0905\\u0915\\u093c\\u0940\\u0926\\u0947 \\u0938\\u092c \\u0915\\u0947 \\u0939\\u0948\\u0902 \\u0924\\u0940\\u0928-\\u0924\\u0947\\u0930\\u0939, \\u0928 \\u0917\\u094d\\u092f\\u093e\\u0930\\u0939\\u0935\\u0940\\u0902 \\u0939\\u0948 \\u0928 \\u0905\\u0937\\u094d\\u091f\\u092e\\u0940 \\u0939\\u0948!! Views Personal, Retweets\\u2260Endorsements'",b'1275',b'1174',b'5',b'6250',b'5074',b'False',b'False',b'False',b'False',b'2009-09-26 17:23:05'
"b'By calling it a clash or riot Indian mainstream circles want to whitewash the crimes against Muslims. ""Massacre"" is\\u2026 https://t.co/KOiyTZsITD'",b'1232017156134457344',b'Mehmet :/',b'sideeque96',b'East Punjab ',b'Muslim |  \\u06f2\\u0663 \\U0001f451',b'3581',b'641',b'35',b'42341',b'11985',b'False',b'False',b'True',b'False',b'2015-09-22 14:57:48'
b'#DelhiBurning https://t.co/I5Qt9EYwpe',b'1232017155673055233',b'\\u0905\\u0902\\u0915\\u093f\\u0924 \\u0936\\u0930\\u094d\\u092e\\u093e - \\u090f\\u0915 \\u0916\\u094b\\u091c\\u0940',b'ankitpzr',"b'Ujjain, India'","b'UI Architect, Writing Stories Articles, Entrepreneur, Business Solution Provider'",b'63',b'252',b'5',b'1652',b'1133',b'False',b'False',b'False',b'False',b'2009-11-05 11:48:38'
"b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0928\\u0947 \\u092f\\u0947 \\u0928\\u092b\\u093c\\u0930\\u0924 \\u0906\\u0917 1984 \\u0915\\u0947 \\u092c\\u093e\\u0926 2020 \\u092e\\u0947 \\u0926\\u0947\\u0916\\u0940 \\u0939\\u0948 \\u091c\\u093f\\u0938 \\u0906\\u0924\\u0902\\u0915\\u0940 @KapilMishra_IND \\u0928\\u0947 \\u0932\\u0917\\u093e\\u0908 \\u0939\\u0948, \\u092e\\u091c\\u093e\\u0932 \\u091c\\u094b @DelhiPolice \\u0909\\u0938\\u0915\\u0947\\u2026 https://t.co/FuRD7Lu3Yb'",b'1232017140124934144',b'MoHd SaAd SiDdIqUi \\u270c\\ufe0f(\\u0645\\u062d\\u0645\\u062f \\u0633\\u0639\\u062f \\u0635\\u062f\\u06cc\\u0642\\u06cc)',b'mosaadsiddiqui2',b'West UP India ',"b""Official Twitter Account Of Authors | Social Worker | Political Activist | Work At - Accountant | Rt's Not Endorsement | Student's Of CCSU Meerut""",b'1872',b'189',b'3',b'34815',b'21534',b'False',b'False',b'False',b'False',b'2016-08-21 00:50:23'
b'Delhi is the new Gujarat?\\n\\n#DelhiBurning',b'1232017139525021696',b'sudha pillai',b'sudhapillai',b'Bangalore',"b'India Head of Editorial, Firework. Travel writer. Photographer. Illustrator. Author. Words in: NatGeo Traveller. Conde Nast. Mint Lounge.The Hindu.Telegraph ++'",b'1641',b'1071',b'75',b'8986',b'1242',b'False',b'False',b'False',b'False',b'2009-04-14 12:03:56'
b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940\\u0924\\u0940\\u0932 \\u0935\\u093f\\u0935\\u093f\\u0927 \\u092d\\u093e\\u0917\\u093e\\u0902\\u092e\\u0927\\u094d\\u092f\\u0947 \\u0906\\u091c \\u092a\\u0941\\u0928\\u094d\\u0939\\u093e CAA \\u0915\\u093e\\u092f\\u0926\\u094d\\u092f\\u093e\\u091a\\u094d\\u092f\\u093e \\u0935\\u093f\\u0930\\u094b\\u0927\\u093e\\u0924 \\u0939\\u093f\\u0902\\u0938\\u093e\\u091a\\u093e\\u0930 \\u092a\\u0938\\u0930\\u0935\\u093f\\u0923\\u094d\\u092f\\u093e\\u0924 \\u0906\\u0932\\u093e. \\u092f\\u093e \\u0926\\u0930\\u092e\\u094d\\u092f\\u093e\\u0928 \\u0915\\u093e\\u0939\\u0940 \\u0920\\u093f\\u0915\\u093e\\u0923\\u0940 \\u0906\\u0902\\u0926\\u094b\\u0932\\u2026 https://t.co/sqpF7Psaos',b'1232017137562198017',"b'\\u0935\\u093f\\u0936\\u094d\\u0935 \\u0938\\u0902\\u0935\\u093e\\u0926 \\u0915\\u0947\\u0902\\u0926\\u094d\\u0930, \\u0926\\u0947\\u0935\\u0917\\u093f\\u0930\\u0940'",b'vskdevgiri',"b'Aurangabad, India'","b'Official Twitter Handle of Vishwa Samvad Kendra, Devgiri Prant'",b'626',b'75',b'0',b'1365',b'400',b'False',b'False',b'True',b'False',b'2019-08-07 17:33:25'
