b'@m_newsid Orang muslim selalu jadi incaran rezim komunis\\n &gt;&gt; #SaveAdvokatPejuang &lt;&lt;\\n #LBHPelitaUmat . #DampingiKetuaLBHPU\\n#CZJF\\n\\n@Ai14532',b'1232220488161619968',b'Sembara',b'Sembara81578870',"b'Margacinta, Indonesia'",b'Hidup mulia atau mati sahid',b'112',b'118',b'0',b'3554',b'562',b'False',b'False',b'True',b'False',b'2019-03-17 12:09:07'
"b'Kami, umat muslim bersatu siap mengawal dan membelanya.\\n &gt;&gt; #SaveAdvokatPejuang &lt;&lt;\\n #LBHPelitaUmat .\\u2026 https://t.co/9QDWAU84HF'",b'1232220479064162304',b'She_SuN12',b'srisundari121',"b'Tegal, Jawa Tengah'",b'Esok Harus Lebih Baik & Lebih Takwa\\u270a',b'43',b'86',b'0',b'486',b'34',b'False',b'False',b'True',b'False',b'2019-04-10 08:54:02'
b'LBH PU yg selama ini gigih membela kepentingan Islam &amp; kaum Muslim tengah alami kriminalisasi. Kami bersama LBH PU\\u2026 https://t.co/zQD2SfEQ8B',b'1232220477365448707',b'akhwat',b'azzahra_audi12',b'',b'#weneedkhilafah kami ingin aturan yang mensolusikan.',b'26',b'33',b'0',b'384',b'2',b'False',b'False',b'True',b'False',b'2016-09-19 14:23:49'
b'@Javedakhtarjadu Why not talk about Waris Pathan...15 crore muslim will outweigh 85 hindus..you shameful hypocrite',b'1232220476505673729',b'ContPRo',b'JaiMaBharti2',b'',b'silver line',b'0',b'18',b'0',b'33',b'3',b'False',b'False',b'True',b'False',b'2019-05-17 00:53:56'
b'Partnering with a terrorist organization. https://t.co/9rQ8gjblLT',b'1232220470730280960',b'k.Walker',b'Aunt_Ester',b'',b'USA First-Pro Trump-Twitter restart.Q MAGA\\U0001f1fa\\U0001f1f8',b'1681',b'2216',b'0',b'11714',b'20661',b'False',b'False',b'True',b'False',b'2017-07-05 07:29:59'
"b'Sesama muslim adalah saudara, jika ada masalah maka beri dukungan agar tidak ada yang terdzolimi.\\n &gt;&gt;\\u2026 https://t.co/7t9wHsrzGO'",b'1232220470289633280',b'Hasdillah Kasim',b'hasdillah96',b'samata gowa',"b'Bagi seorang muslim, kalimat tauhid inilah awal dari perjalanan kehidupan, ujung dari kematian dan bekal saat dibangkitkan.'",b'135',b'111',b'0',b'2939',b'188',b'False',b'False',b'True',b'False',b'2016-05-07 11:02:38'
b'Kurang greget semestinya muslim pejuang\\n &gt;&gt; #SaveAdvokatPejuang &lt;&lt;\\n #DampingiKetuaLBHPU . #KamiBersamaLBHPU\\n#DZJD\\n\\n@Almuqtafi1',b'1232220461053833221',b'Abu_HaQi',b'HaqiAbu',b'madura',b'melanjutkan kehidupan islam',b'338',b'523',b'0',b'3325',b'1065',b'False',b'False',b'True',b'False',b'2019-04-16 05:14:48'
b'@idrismu29859821 @AFatih85 Mayoritas muslim trbnyak namun penguasa munafik umat muslim jgn diam utk mehawan kebathi\\u2026 https://t.co/0V9azXMIpM',b'1232220454103830528',b'Atik Sartika',b'AtikSartika17',b'Banjar jawa barat',b'',b'101',b'221',b'0',b'212',b'4788',b'False',b'True',b'True',b'False',b'2019-03-06 13:35:21'
b'Modi and Trump are propagating islamophobia \\nBJP is attacking most vulnerable Muslim community in the national capi\\u2026 https://t.co/Mt0ekqhl5q',b'1232220443127533568',b'Danish Mankada',b'DMankada',b'',b'\\U0001f493\\U0001f493\\U0001f493',b'7',b'13',b'0',b'19',b'9',b'False',b'False',b'True',b'False',b'2019-12-17 20:21:58'
b'@ik4mawar3 @SpiritofIslam4 @ARH1924_New @rajawalimataram @Fatih20191 @rasmanduri_back Kenapa umat Muslim terus yg d\\u2026 https://t.co/1IRfOVu8Zm',b'1232220441067962368',b'Ummdk',b'Ummdk2',b'',b'',b'3',b'28',b'0',b'236',b'0',b'False',b'True',b'True',b'False',b'2019-12-12 15:44:32'
