b'\\u0d1f\\u0d4d\\u0d30\\u0d02\\u0d2a\\u0d3f\\u0d28\\u0d4a\\u0d2a\\u0d4d\\u0d2a\\u0d02 \\u0d2e\\u0d15\\u0d33\\u0d41\\u0d02 \\u0d2e\\u0d30\\u0d41\\u0d2e\\u0d15\\u0d28\\u0d41\\u0d02 \\u0d35\\u0d30\\u0d41\\u0d02; \\u0d07\\u0d35\\u0d3e\\u0d7b\\u0d15\\u0d2f\\u0d41\\u0d02 \\u0d1c\\u0d46\\u0d31\\u0d3e\\u0d26\\u0d4d \\u0d15\\u0d37\\u0d4d\\u0d28\\u0d31\\u0d41\\u0d02 \\u0d07\\u0d28\\u0d4d\\u0d24\\u0d4d\\u0d2f\\u0d2f\\u0d3f\\u0d32\\u0d47\\u0d15\\u0d4d\\u0d15\\u0d4d? https://t.co/pfFq8hgPVn #IvankaTrump #NarendraModi',b'1230811675072221184',b'Manorama Online',b'manoramaonline',"b'Kerala, INDIA'","b""The official account of 'Malayala Manorama'""",b'155746',b'208',b'483',b'191623',b'295',b'True',b'False',b'False',b'False',b'2009-05-11 10:04:38'
b'\\u0b9f\\u0bbf\\u0bb0\\u0bae\\u0bcd\\u0baa\\u0bcd \\u0b87\\u0ba8\\u0bcd\\u0ba4\\u0bbf\\u0baf \\u0bb5\\u0bb0\\u0bc1\\u0b95\\u0bc8 \\u0ba4\\u0bbf\\u0b9f\\u0bcd\\u0b9f\\u0ba4\\u0bcd\\u0ba4\\u0bbf\\u0bb2\\u0bcd \\u0bae\\u0b95\\u0bb3\\u0bcd \\u0b87\\u0bb5\\u0bbe\\u0ba9\\u0bcd\\u0b95\\u0bbe\\u0bb5\\u0bc1\\u0bae\\u0bcd \\u0baa\\u0b99\\u0bcd\\u0b95\\u0bc7\\u0bb1\\u0baa\\u0bcd\\u0baa\\u0bc1?\\n\\n#DonaldTrump\\n#IvankaTrump\\n#NamasteTrump\\n\\nhttps://t.co/ZXFQ37uW1g',b'1230809392020443137',b'ZEE Hindustan Tamil',b'ZHindustanTamil',"b'Noida, UP'","b'Zee Media Corporation Ltd (ZMCL), India\\u2019s largest news network, touches the lives of over 150 million Indians through a clutch of national & regional news'",b'32167',b'106',b'60',b'40086',b'13',b'False',b'False',b'False',b'False',b'2016-05-04 11:36:46'
"b'\\u092d\\u093e\\u0930\\u0924 \\u0926\\u094c\\u0930\\u0947 \\u092a\\u0930 \\u0935\\u093f\\u0936\\u094d\\u0935 \\u0915\\u0940 \\u0938\\u092c\\u0938\\u0947 \\u0936\\u0915\\u094d\\u0924\\u093f\\u0936\\u093e\\u0932\\u0940 \\u092c\\u0947\\u091f\\u0940, \\u091c\\u093f\\u0938\\u0915\\u0940 \\u0935\\u091c\\u0939 \\u0938\\u0947 \\u091f\\u094d\\u0930\\u0902\\u092a \\u0928\\u0947 \\u0938\\u0940\\u0930\\u093f\\u092f\\u093e \\u092a\\u0930 \\u0926\\u093e\\u0917 \\u0926\\u0940 \\u0925\\u0940\\u0902 \\u092e\\u093f\\u0938\\u093e\\u0907\\u0932\\u0947\\u0902-\\n#TrumpVisitIndia\\u2026 https://t.co/N3fq5KCLbH'",b'1230808635795623937',b'Times Now Hindi',b'TimesNowHindi',"b'New Delhi, India'",b'\\u0926\\u0947\\u0936-\\u0926\\u0941\\u0928\\u093f\\u092f\\u093e \\u0915\\u0940 \\u0924\\u093e\\u091c\\u093e \\u0914\\u0930 \\u092a\\u094d\\u0930\\u093e\\u092e\\u093e\\u0923\\u093f\\u0915 \\u0916\\u093c\\u092c\\u0930\\u094b\\u0902 \\u0915\\u0947 \\u0932\\u093f\\u090f \\u0939\\u092e\\u0947\\u0902 \\u092b\\u0949\\u0932\\u094b \\u0915\\u0930\\u0947\\u0902-',b'7579',b'5',b'34',b'18376',b'60',b'True',b'False',b'False',b'False',b'2017-11-06 06:43:40'
b'\\u0c1f\\u0c4d\\u0c30\\u0c02\\u0c2a\\u0c4d\\u200c\\u0c24\\u0c4b \\u0c2a\\u0c3e\\u0c1f\\u0c41 \\u0c07\\u0c35\\u0c3e\\u0c02\\u0c15\\u0c3e \\u0c15\\u0c42\\u0c21\\u0c3e \\u0c2d\\u0c3e\\u0c30\\u0c24\\u0c4d\\u200c\\u0c15\\u0c41..\\n#DonaldTrump #ivankatrump #America #JaredKushner #IndiaTour #NarendraModi\\nhttps://t.co/TsyuVNY30A',b'1230808130398781440',b'\\u0c08\\u0c28\\u0c3e\\u0c21\\u0c41',b'eenadulivenews',b'Hyderabad',"b'\\u0c08\\u0c28\\u0c3e\\u0c21\\u0c41 \\u0c05\\u0c27\\u0c3f\\u0c15\\u0c3e\\u0c30\\u0c3f\\u0c15 \\u0c1f\\u0c4d\\u0c35\\u0c3f\\u0c1f\\u0c4d\\u0c1f\\u0c30\\u0c4d \\u0c2a\\u0c47\\u0c1c\\u0c4d\\u200c 24/7 \\u0c38\\u0c4d\\u0c2a\\u0c4b\\u0c30\\u0c4d\\u0c1f\\u0c4d\\u0c38\\u0c4d\\u200c, \\u0c38\\u0c3f\\u0c28\\u0c3f\\u0c2e\\u0c3e, \\u0c1c\\u0c3e\\u0c24\\u0c40\\u0c2f-\\u0c05\\u0c02\\u0c24\\u0c30\\u0c4d\\u0c1c\\u0c3e\\u0c24\\u0c40\\u0c2f \\u0c35\\u0c3e\\u0c30\\u0c4d\\u0c24\\u0c32\\u0c41 \\u0c2e\\u0c4a\\u0c26\\u0c32\\u0c41\\u0c15\\u0c4a\\u0c28\\u0c3f \\u0c2a\\u0c4d\\u0c30\\u0c3e\\u0c02\\u0c24\\u0c40\\u0c2f(\\u0c24\\u0c46\\u0c32\\u0c02\\u0c17\\u0c3e\\u0c23, \\u0c06\\u0c02\\u0c27\\u0c4d\\u0c30\\u0c2a\\u0c4d\\u0c30\\u0c26\\u0c47\\u0c36\\u0c4d ) \\u0c35\\u0c3e\\u0c30\\u0c4d\\u0c24\\u0c32 \\u0c38\\u0c2e\\u0c17\\u0c4d\\u0c30 \\u0c38\\u0c2e\\u0c3e\\u0c1a\\u0c3e\\u0c30\\u0c02 \\u0c05\\u0c02\\u0c26\\u0c3f\\u0c38\\u0c4d\\u0c24\\u0c41\\u0c02\\u0c26\\u0c3f.'",b'27077',b'0',b'0',b'348817',b'142',b'False',b'False',b'False',b'False',b'2013-08-20 11:23:20'
b'\\u0aa8\\u0aae\\u0ab8\\u0acd\\u0aa4\\u0ac7 \\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa: \\u0aa1\\u0acb\\u0aa8\\u0abe\\u0ab2\\u0acd\\u0aa1 \\u0a85\\u0aa8\\u0ac7 \\u0aae\\u0ac7\\u0ab2\\u0abe\\u0aa8\\u0abf\\u0aaf\\u0abe \\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa\\u0aa8\\u0ac0 \\u0ab8\\u0abe\\u0aa5\\u0ac7 \\u0aaa\\u0ac1\\u0aa4\\u0acd\\u0ab0\\u0ac0 \\u0a88\\u0ab5\\u0abe\\u0aa8\\u0acd\\u0a95\\u0abe \\u0aaa\\u0aa3 \\u0aad\\u0abe\\u0ab0\\u0aa4\\u0aa8\\u0ac0 \\u0aae\\u0ac1\\u0ab2\\u0abe\\u0a95\\u0abe\\u0aa4\\u0ac7 \\u0a86\\u0ab5\\u0ab6\\u0ac7\\nhttps://t.co/qMdxWhyMkE\\u2026 https://t.co/EVxqXk8s9m',b'1230807156770758657',b'Newz Viewz',b'newzviewzoffice',b'INDIA',"b'Newz Viewz provides the latest Hindi, English & Gujarati news from India and World about all Politics, Cinema, Business, National & News at Singal Click.'",b'103',b'182',b'2',b'26590',b'224',b'False',b'False',b'False',b'False',b'2017-01-04 09:14:14'
b'\\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa \\u0ab8\\u0abe\\u0aa5\\u0ac7 \\u0a8f\\u0a95 \\u0a89\\u0a9a\\u0acd\\u0a9a \\u0ab8\\u0acd\\u0aa4\\u0ab0\\u0ac0\\u0aaf \\u0aaa\\u0acd\\u0ab0\\u0aa4\\u0abf\\u0aa8\\u0abf\\u0aa7\\u0abf\\u0aae\\u0a82\\u0aa1\\u0ab3 \\u0aaa\\u0aa3 \\u0aad\\u0abe\\u0ab0\\u0aa4 \\u0a86\\u0ab5\\u0ac7 \\u0aa4\\u0ac7\\u0ab5\\u0ac0 \\u0ab6\\u0a95\\u0acd\\u0aaf\\u0aa4\\u0abe\\n\\u0a86\\u0a97\\u0acd\\u0ab0\\u0abe \\u0a85\\u0aa8\\u0ac7 \\u0aa6\\u0abf\\u0ab2\\u0acd\\u0ab9\\u0ac0\\u0aa8\\u0abe \\u0aa6\\u0ab0\\u0ac7\\u0a95 \\u0a95\\u0abe\\u0ab0\\u0acd\\u0aaf\\u0a95\\u0acd\\u0ab0\\u0aae\\u0aae\\u0abe\\u0a82 \\u0aa6\\u0ac0\\u0a95\\u0ab0\\u0ac0 \\u0a88\\u0ab5\\u0abe\\u0aa8\\u0acd\\u0a95\\u0abe\\u2026 https://t.co/QcoEGKybT5',b'1230807111535353856',b'News Aayog',b'newsaayog',b'',b'',b'64',b'54',b'0',b'1610',b'89',b'False',b'False',b'True',b'False',b'2019-03-30 07:50:02'
b'\\u0aa8\\u0aae\\u0ab8\\u0acd\\u0aa4\\u0ac7 \\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa : \\u0aad\\u0abe\\u0ab0\\u0aa4 \\u0aaa\\u0acd\\u0ab0\\u0ab5\\u0abe\\u0ab8\\u0ac7 \\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa \\u0a85\\u0aa8\\u0ac7 \\u0aae\\u0ac7\\u0ab2\\u0ac7\\u0aa8\\u0abf\\u0aaf\\u0abe \\u0ab8\\u0abe\\u0aa5\\u0ac7 \\u0aa6\\u0ac0\\u0a95\\u0ab0\\u0ac0 \\u0a88\\u0ab5\\u0abe\\u0aa8\\u0acd\\u0a95\\u0abe \\u0a85\\u0aa8\\u0ac7 \\u0a9c\\u0aae\\u0abe\\u0a88 \\u0aaa\\u0aa3 \\u0a86\\u0ab5\\u0ab6\\u0ac7\\n\\u0aa4\\u0abe\\u0a9c\\u0aae\\u0ab9\\u0ac7\\u0ab2\\u0aa8\\u0ac0 \\u0aae\\u0ac1\\u0ab2\\u0abe\\u0a95\\u0abe\\u0aa4 \\u0aa1\\u0acb\\u0aa8\\u0abe\\u0ab2\\u0acd\\u0aa1 \\u0a9f\\u0acd\\u0ab0\\u2026 https://t.co/6iSxOvxpOe',b'1230807108758777857',b'News Aayog',b'newsaayog',b'',b'',b'64',b'54',b'0',b'1610',b'89',b'False',b'False',b'True',b'False',b'2019-03-30 07:50:02'
"b'\\u0c9f\\u0ccd\\u0cb0\\u0c82\\u0caa\\u0ccd \\u0ca6\\u0c82\\u0caa\\u0ca4\\u0cbf \\u0c9c\\u0cca\\u0ca4\\u0cc6 \\u0caa\\u0cc1\\u0ca4\\u0ccd\\u0cb0\\u0cbf \\u0c87\\u0cb5\\u0cbe\\u0c82\\u0c95\\u0cbe, \\u0c85\\u0cb3\\u0cbf\\u0caf \\u0c9c\\u0cc6\\u0cb0\\u0cbe\\u0cb2\\u0ccd\\u0ca1\\u0ccd \\u0c95\\u0cc1\\u0cb6\\u0ccd\\u0ca8\\u0cb0\\u0ccd \\u0cad\\u0cbe\\u0cb0\\u0ca4\\u0c95\\u0ccd\\u0c95\\u0cc6 \\u0cad\\u0cc7\\u0c9f\\u0cbf\\nhttps://t.co/tpEdrr14P4\\n\\n#DonaldTrump #ivankatrump #India'",b'1230806506993377281',b'PublicTV',b'publictvnews',"b'Bengaluru, India'","b""HR Ranganath and His Young team's dream Venture. News Channel For the people. Not Owned by any Politician, or Businessman.""",b'155208',b'906',b'337',b'120364',b'4',b'True',b'False',b'False',b'False',b'2012-01-23 11:39:58'
b'\\u0c2d\\u0c3e\\u0c30\\u0c24\\u0c4d \\u0c15\\u0c41 \\u0c35\\u0c38\\u0c4d\\u0c24\\u0c41\\u0c28\\u0c4d\\u0c28 \\u0c07\\u0c35\\u0c3e\\u0c02\\u0c15\\u0c3e \\u0c1f\\u0c4d\\u0c30\\u0c02\\u0c2a\\u0c4d..\\n#telugunews #ivankatrump #indiatour https://t.co/gM1vU75Fsx https://t.co/T8nftMmW3J',b'1230799063827800065',b'EdailyNews.in',b'Edailynewsin',b'',"b'EdailyNews Provides Latest News in Telugu, Telugu News Online, Live News on Telangana and AP Politics, Sports, Crime, Business, Movies.'",b'95',b'31',b'0',b'438',b'0',b'False',b'False',b'True',b'False',b'2019-08-30 17:21:18'
b'\\u092f\\u0939 @ivankatrump \\u0915\\u093e \\u0926\\u0942\\u0938\\u0930\\u093e \\u092d\\u093e\\u0930\\u0924 \\u0926\\u094c\\u0930\\u093e \\u0939\\u094b\\u0917\\u093e\\nhttps://t.co/w0nVdI7JrC\\n#ivankatrump #DonaldTrump #NamasteTrump',b'1230795133832105984',b'Abcnews.media',b'abcnewsmedia',"b'Kanpur, India'",b'',b'274',b'476',b'0',b'3985',b'88',b'False',b'False',b'False',b'False',b'2017-03-15 11:48:36'
