"b'@Athiest_Hindu \\u0926\\u094b\\u0928\\u094b\\u0902 \\u0927\\u0930\\u094d\\u092e \\u090f\\u0915 \\u0939\\u0940 \\u0917\\u0932\\u0924\\u0940 \\u0915\\u0930 \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902, \\u090f\\u0915 \\u0926\\u0942\\u0938\\u0930\\u0947 \\u0938\\u0947 \\u0928\\u092b\\u0930\\u0924 | \\n\\u0914\\u0930 \\u0930\\u093e\\u091c\\u0928\\u0940\\u0924\\u093f\\u0915 \\u0926\\u0932 \\u0907\\u0938\\u0915\\u093e \\u092b\\u093e\\u092f\\u0926\\u093e \\u0909\\u0920\\u093e \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902 || #DelhiBurning'",b'1232253073709391879',b'Akshay Chugh',b'ak_chugh',"b'New Delhi, India'",b'Nerd. Gamer. Gardener. Determined dreamer. Wannabe artist & an aspiring historian. Tweets = personal. RTs \\u2260 Endorsements. YouTuber: https://t.co/orDtAxcATf\\u2026',b'23',b'188',b'0',b'6',b'160',b'False',b'False',b'False',b'False',b'2019-03-27 15:20:55'
"b""Two NDTV journalists 'badly beaten,' left only after mob realised they were 'our people- Hindus': NDTV Editor on Tw\\u2026 https://t.co/CokZKUgjVx""",b'1232253062275710977',b'\\u0b85\\u0bb1\\u0bae\\u0bcd \\u0bb5\\u0bc6\\u0bb2\\u0bcd\\u0bb2\\u0bc1\\u0bae\\u0bcd \\u2764\\U0001f5a4\\U0001f499 Truth Triumphs',b'_aram_vellum_',b'',b'\\u0ba8\\u0bc0 \\u0bb5\\u0bb3\\u0bcd\\u0bb3\\u0bc1\\u0bb5\\u0ba9\\u0bc8 \\u0ba4\\u0bca\\u0b9f\\u0bcd\\u0b9f\\u0ba4\\u0bc1 \\u0ba4\\u0baa\\u0bcd\\u0baa\\u0bc1 |\\nSaffronizing Valluvan is a RED FUCKING LINE',b'130',b'173',b'0',b'4166',b'2599',b'False',b'False',b'True',b'False',b'2019-11-04 05:34:02'
b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0939\\u093f\\u0902\\u0938\\u093e \\u0915\\u0947 \\u0932\\u093f\\u090f \\u0915\\u094c\\u0928 \\u091c\\u093f\\u092e\\u094d\\u092e\\u0926\\u093e\\u0930 ?\\n#DelhiRiots #delhipolls #DelhiBurning #ShaheenBaghProtest #Jafarabad #delhimetro',b'1232253057515184128',b'Bhushan',b'Bhushan54026909',b'',b'',b'7',b'60',b'0',b'313',b'96',b'False',b'False',b'True',b'False',b'2020-01-03 16:13:08'
"b'@ArvindKejriwal You have betrayed Muslims, who voted for you...Furquan was killed by your hindutva terrorists.\\n#DelhiRiots #DelhiBurning'",b'1232253057263685633',b'Samad Irfan \\u0635\\u0645\\u062f \\u0639\\u0631\\u0641\\u0627\\u0646',b'IMSamad9',b'India',b'INDIAN - MUSLIM \\u25a0 WRITER \\u25a0 SOCIAL ACTIVIST  | Views & Tweets are Personal |',b'380',b'217',b'1',b'6565',b'13618',b'False',b'False',b'True',b'False',b'2019-11-14 11:43:24'
b'A question that arises\\nIf not @narendramodi then who.\\nIf not now then when.\\n#DelhiRiots #DelhiBurning\\u2026 https://t.co/YTNcUref8O',b'1232253044152131586',b'Ankit Mohanty',b'AnkitMo61306367',b'odisha',b'Jai Jagannath',b'4',b'27',b'0',b'49',b'281',b'False',b'False',b'True',b'False',b'2020-01-12 10:33:27'
b'@1vikastrivedi @anuragkashyap72 Ye kya bolenge ye sb inka hi Karaya hua hai...@PMOIndia @narendramodi \\n#DelhiBurning #ShameOnDelhiPolice',b'1232253042805755904',b'Shadab',b'sdb_md',"b'New Delhi, India'",b'',b'39',b'126',b'0',b'1627',b'2321',b'False',b'False',b'True',b'False',b'2011-12-22 21:18:19'
b'@astitvam We are lucky! At least someone out there giving our youth the right education. I pitty #Delhi youth that\\u2026 https://t.co/ls3859lAGw',b'1232253041358721026',b'Gauri',b'iamgouri',b'India',"b""Free-spirited, Animal Lover, Degrees don't Matter anymore, Skills do. Make In India, Eradicate Corruption- Build a new India\\U0001f1ee\\U0001f1f3""",b'128',b'289',b'0',b'2129',b'1579',b'False',b'False',b'True',b'False',b'2017-12-30 14:18:59'
b'\\u0905\\u0938\\u092e\\u0902\\u091c\\u0938 \\u0914\\u0930 \\u091b\\u0932\\u093e\\u0935\\u0947 \\u092e\\u0947\\u0902 \\u0924\\u0941\\u092e \\u0939\\u094b...\\n\\u0909\\u0928 \\u091c\\u093f\\u0939\\u093e\\u0926\\u093f\\u092f\\u094b\\u0902 \\u0915\\u093e  \\u0935\\u093f\\u091c\\u093c\\u0928  \\u0924\\u094b \\u0915\\u094d\\u0932\\u0940\\u092f\\u0930 \\u0939\\u0948\\n\\u0924\\u0941\\u092e\\u094d\\u0939\\u093e\\u0930\\u0940  \\u0917\\u0902\\u0917\\u093e-\\u091c\\u092e\\u0941\\u0928\\u0940 \\u0924\\u0939\\u091c\\u093c\\u0940\\u092c \\u0915\\u0940 \\u092c\\u0924\\u094d\\u0924\\u0940 \\u092c\\u0928\\u093e\\u0915\\u0930 \\u0924\\u0941\\u092e\\u094d\\u2026 https://t.co/qsRUpXFIep',b'1232253039274127360',b'\\u0930\\u091c\\u0924 \\u0930\\u093e\\u0935\\u0924',b'jat_ra',"b'New Delhi, India'","b'\\u0938\\u094d\\u0925\\u093f\\u0930\\u0924\\u093e \\u0915\\u0940 \\u0924\\u0932\\u093e\\u0936 \\u092e\\u0947\\u0902\\u0964\\n\\n(\\u0916\\u093e\\u092e\\u094b\\u0936\\u0940 \\u090f\\u0915 \\u0928\\u0936\\u093e \\u0939\\u0948 , \\u0914\\u0930 \\u092e\\u0947\\u0902 \\u0928\\u0936\\u0947 \\u092e\\u0947\\u0902 \\u0939\\u0942\\u0901)'",b'1923',b'21',b'27',b'33504',b'18940',b'False',b'False',b'True',b'False',b'2013-03-06 01:04:05'
"b'While @AmitShah is busy controlling the voilence, Kejriwal is busy offering prayers to Gandhi Ji.\\n\\nMisplaced Priori\\u2026 https://t.co/lR7XZXT8u4'",b'1232253017107259394',b'Activist 101',b'Savarkar_VD',b'Bharat',"b'\\u092f\\u0924\\u094b \\u0927\\u0930\\u094d\\u092e\\u0938\\u094d\\u0924\\u0924\\u094b \\u091c\\u092f\\u0903 [Where there is Dharma, there will be Victory]\\nEx Secular because-""Secularism in India stems from the ignorance of history""'",b'32',b'208',b'1',b'1541',b'4191',b'False',b'False',b'True',b'False',b'2016-06-01 04:12:32'
"b""Whether it was a conspiracy to burn the Capital during #Trump's visit to India or just a coincidence, It's definite\\u2026 https://t.co/er0Mp6TU90""",b'1232253011717607424',b'MOHIT VERMA \\u092e\\u094b\\u0939\\u093f\\u0924 \\U0001f1ee\\U0001f1f3',b'mohitverma_',b'New Delhi',"b""Live. Love. Friends. Family. That's what defines me.""",b'318',b'657',b'4',b'2996',b'3926',b'False',b'False',b'False',b'False',b'2011-02-18 04:46:28'
b'Believe it or not..\\n\\nThe problem of #delhivoilence  has started from a group of peoples who split up and started th\\u2026 https://t.co/bgH9g3aV98',b'1232252996404285441',b'Firoz Saidu',b'AapKafiroz',"b'Cochin, India'",b'A Great fan of #ArvindKejriwal | Technical Expert In IT | #Writer | #Blogger',b'1444',b'1102',b'21',b'11674',b'5607',b'False',b'False',b'False',b'False',b'2015-02-03 19:24:55'
b'If still you sickular so called muslims have believe in the democratic machinery you people really need brain thera\\u2026 https://t.co/PdVC0CF4S8',b'1232252992998371328',b'Bint_qazi',b'qazi_bint',b'',b'\\u0644\\u0627 \\u0627\\u0644\\u06c1 \\u0627\\u0644\\u0627 \\u0627\\u0644\\u0644\\u06c1 \\u0645\\u062d\\u0645\\u062f \\u0631\\u0633\\u0648\\u0644 \\u0627\\u0644\\u0644\\u0651\\u0670\\u06c1',b'18',b'52',b'0',b'362',b'711',b'False',b'False',b'True',b'False',b'2019-12-30 12:59:40'
"b""I don't know why indian media not showing the reality to the world \\U0001f613\\U0001f614\\n#DelhiBurning https://t.co/wHlmGIsDMD""",b'1232252986728079360',b'Rabail Ali',b'rabailali22',b'islamabad ',"b'Coffee-Drinker, eReader Addict,Fashion model, \\nDo not judge me before u know me, but just to inform u, you won\\u2019t like me'",b'49',b'170',b'0',b'688',b'489',b'False',b'False',b'True',b'False',b'2019-08-29 09:32:31'
"b""I have always regarded you as a right person who'll do whatever it takes to safeguard our great nation from all kin\\u2026 https://t.co/Qh3ZU4UZti""",b'1232252978121175040',b'Kumar Gaurav',b'kumar_gaurav3',b'India',"b'India,  I love you!'",b'31',b'418',b'2',b'100',b'780',b'False',b'False',b'True',b'False',b'2013-12-20 04:46:12'
