b'\\u0932\\u094b\\u0917 \\u091f\\u0942\\u091f \\u091c\\u093e\\u0924\\u0947 \\u0939\\u0948 \\u090f\\u0915 \\u0918\\u0930 \\u092c\\u0928\\u093e\\u0928\\u0947 \\u092e\\u0947\\n\\u0924\\u0941\\u092e \\u0924\\u0930\\u0938 \\u0928\\u0939\\u0940 \\u0916\\u093e\\u0924\\u0947 \\u092c\\u0938\\u094d\\u0924\\u0940\\u092f\\u093e\\u0901 \\u091c\\u0932\\u093e\\u0928\\u0947 \\u092e\\u0947\\n#DelhiRiots #DelhiBurning #DelhiCAAClashes\\u2026 https://t.co/DogCoo7ega',b'1232295315174240256',b'kaushal sharma',b'black_boi28',"b'Jaipur, India'",b'bachlor wala student \\U0001f609',b'114',b'36',b'0',b'1326',b'198',b'False',b'False',b'False',b'False',b'2012-05-25 01:32:52'
b'@ippatel \\u092a\\u0940\\u0924\\u0932 \\u0915\\u093e \\u0909\\u092a\\u092f\\u094b\\u0917 \\u0915\\u0930\\u0928\\u093e \\u0939\\u0940 \\u0939\\u094b\\u0917\\u093e \\U0001f620\\n\\n#DelhiBurning \\n#DelhiRiots',b'1232295311298555906',b'BUDHRAJ GEHLOT',b'BUDHRAJ_JI',b'In the heart of India',"b'\\u0926\\u0947\\u0936 \\u0938\\u092c\\u0938\\u0947 \\u092a\\u0939\\u0932\\u0947, \\u0932\\u0915\\u094d\\u0937\\u094d\\u092f ~ \\u092e\\u093e\\u0902 \\u092d\\u093e\\u0930\\u0924\\u0940 \\u0915\\u094b \\u0935\\u093f\\u0936\\u094d\\u0935\\u0917\\u0941\\u0930\\u0941 \\u092c\\u0928\\u093e\\u0928\\u093e\\n\\nI am proud of my Prime Minister @narendramodi'",b'309',b'363',b'0',b'4448',b'5933',b'False',b'False',b'True',b'False',b'2020-02-02 12:30:57'
b'Current Affairs\\n\\n25th Current Affairs\\n\\nMust Watch\\n\\nhttps://t.co/ySsWZf0kOh\\n\\n#HangoverOfSid \\n#CurrentAffair\\n#SidNazz\\u2026 https://t.co/UQZmB0LXTu',b'1232295307649503233',b'Shindee',b'StudyCornerr',b'',b'Follow ur Dreams',b'1',b'14',b'0',b'87',b'33',b'False',b'False',b'True',b'False',b'2019-12-24 13:35:03'
"b'\\u092d\\u093e\\u0930\\u0924 \\u0915\\u093e \\u0907\\u0924\\u093f\\u0939\\u093e\\u0938 \\u0917\\u0935\\u093e\\u0939 \\u0939\\u0948 \\u0915\\u093f \\u091c\\u092c \\u092d\\u0940 \\u0915\\u093c\\u093f\\u0932\\u0947 \\u092b\\u093c\\u0924\\u0939 \\u0939\\u0941\\u090f, \\u0926\\u0930\\u0935\\u093e\\u091c\\u093c\\u0947 \\u0905\\u0928\\u094d\\u0926\\u0930 \\u0938\\u0947 \\u0916\\u094b\\u0932\\u0947 \\u0917\\u090f\\u0964 \\u0915\\u0941\\u091b \\u0928\\u0939\\u0940\\u0902 \\u092c\\u0926\\u0932\\u093e\\u0964 \\u0906\\u091c \\u092d\\u0940 \\u0926\\u0930\\u0935\\u093e\\u091c\\u093c\\u0947 \\u0905\\u0928\\u094d\\u0926\\u0930 \\u0938\\u0947 \\u0916\\u094b\\u2026 https://t.co/NzLbl3Pz8P'",b'1232295304201998336',b'\\u092d\\u093e\\u0917\\u0940\\u0930\\u0925 \\u092e\\u0939\\u0924\\u094b',b'Real_Bhagirath',"b'Jharkhand, India'",b'\\u0964\\u0964 PrOuD HiNdUstaNi\\u0964\\u0964 Jai Hind \\u0964\\u0964\\n\\u091c\\u092f \\u0936\\u094d\\u0930\\u0940 \\u0930\\u093e\\u092e\\u0964\\u0964\\u0935\\u0928\\u094d\\u0926\\u0947 \\u092e\\u093e\\u0924\\u0930\\u092e\\u094d\\u0964\\u0964 \\u091c\\u092f \\u092e\\u093e\\u0902 \\u092d\\u093e\\u0930\\u0924\\u0940\\u0964',b'596',b'730',b'0',b'1224',b'3396',b'False',b'False',b'True',b'False',b'2015-03-28 11:51:41'
"b""Those who did not witness Modi's Gujarat in 2002 can see it happen in Modi's India in 2020. The Gujarat Model is in\\u2026 https://t.co/Cld1CHxoSG""",b'1232295298493370368',b'Danae alThor',b'Roh_Malur',"b'Bangalore, India'","b""reading, writing, no 'rithmetic. She/her. Queer. Cis.""",b'197',b'351',b'5',b'1818',b'1203',b'False',b'False',b'False',b'False',b'2010-09-05 23:45:12'
b'\\U0001f602\\U0001f602\\U0001f602\\nFollow us for more entertainment @garjane_trolls #garjane_trolls #TuesdayThoughts\\n#TuesdayMotivation\\u2026 https://t.co/tBvnSOFTbI',b'1232295293946908676',b'garjane_trolls',b'garjane_trolls',b'',b'\\u0c95\\u0ca8\\u0ccd\\u0ca8\\u0ca1\\u0cbf\\u0c97\\u0cb0\\u0cc1 \\u2665\\ufe0f\\n\\u0ca8\\u0cae\\u0ccd\\u0cae \\u0c88 \\u0caa\\u0cc7\\u0c9c\\u0ca8\\u0ccd\\u0ca8 \\u0cab\\u0cbe\\u0cb2\\u0ccb \\u0cae\\u0cbe\\u0ca1\\u0cbf \\u0cb8\\u0caa\\u0ccb\\u0cb0\\u0ccd\\u0c9f\\u0ccd \\u0cae\\u0cbe\\u0ca1\\u0cbf \\u0cb8\\u0ccd\\u0ca8\\u0cc7\\u0cb9\\u0cbf\\u0ca4\\u0cb0\\u0cc6 \\u2665\\ufe0f\\u2665\\ufe0f\\u2665\\ufe0f\\n\\u0ca8\\u0cbf\\u0cae\\u0c97\\u0cc6 \\u0cae\\u0ca8\\u0ccb\\u0cb0\\u0c82\\u0c9c\\u0ca8\\u0cc6 \\u0ca8\\u0cc0\\u0ca1\\u0cc1\\u0cb5\\u0cc1\\u0ca6\\u0cc7 \\u0ca8\\u0cae\\u0ccd\\u0cae \\u0c97\\u0cc1\\u0cb0\\u0cbf\\U0001f60d',b'1',b'1',b'2',b'5',b'6',b'False',b'False',b'True',b'False',b'2020-01-28 14:28:17'
b'#DelhiRiots #DelhiBurning https://t.co/w4M11oGBQb',b'1232295291476463618',b'ahmad shaban \\u0627\\u062d\\u0645\\u062f \\u0634\\u0639\\u0628\\u0627\\u0646',b'ahmadshaban7423',b'\\u0932\\u093f\\u0902\\u091a\\u093f\\u0938\\u094d\\u0924\\u093e\\u0928',b'\\u092e\\u0948 \\u0935\\u0939\\u093e\\u0902 \\u0924\\u0915 \\u0905\\u091a\\u094d\\u091b\\u093e \\u0939\\u0942 \\u091c\\u0939\\u093e\\u0902 \\u0924\\u0915 \\u0906\\u092a \\u0915\\u0947 \\u092e\\u0941\\u0924\\u093e\\u092c\\u093f\\u0915\\u093c \\u0939\\u0942',b'426',b'285',b'0',b'3758',b'1692',b'False',b'False',b'True',b'False',b'2017-05-10 05:55:40'
b'#BJP #AmitShah #IStandWithKapilMishra #ISupportKapilMishra #DelhiRiots #DelhiBurning #DelhiCAAClashes #DelhiViolence https://t.co/BOMf7HhnA1',b'1232295286334197761',b'Sandeep Singh',b'iSinghSandeep_',"b'Delhi, India'","b'Nationalist\\U0001f1ee\\U0001f1f3, SocialActivist, Student Activist @abvpvoice, \\u0938\\u094d\\u0935\\u092f\\u0902\\u0938\\u0947\\u0935\\u0915 @RSSorg, Ex DUSU Sports President, DELHI ke Dil\\u2764\\ufe0f Mein Hai @narendramodi\\U0001f1ee\\U0001f1f3\\U0001f6a9'",b'1057',b'1775',b'0',b'28860',b'39388',b'False',b'False',b'True',b'False',b'2017-06-10 18:50:47'
b'@aajtak @ShahnawazBJP @ashutosh83B @sushantsareen @sardanarohit \\u091c\\u093f\\u0938 \\u092a\\u094d\\u0930\\u0915\\u093e\\u0930 \\u0938\\u0947 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u0926\\u0947\\u0936 \\u0915\\u0940 \\u0938\\u093e\\u0902\\u0938\\u094d\\u0915\\u0943\\u0924\\u093f\\u0915 \\u0935\\u093f\\u0935\\u093f\\u0927\\u0924\\u093e\\u2026 https://t.co/loGipf2Alo',b'1232295283452792833',b'balram pandey\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3\\U0001f6a9\\U0001f6a9',b'balramias111',"b'New Delhi, India'","b'student of  political science  (hons) at delhi university.\\n\\u0926\\u0915\\u094d\\u0937\\u093f\\u0923\\u092a\\u0902\\u0925\\u0940 \\u0935\\u093f\\u091a\\u093e\\u0930\\u0927\\u093e\\u0930\\u093e\\n\\u092e\\u0947\\u0930\\u0947 \\u0932\\u093f\\u090f \\u092e\\u0947\\u0930\\u093e \\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930 \\u0939\\u092e\\u0947\\u0936\\u093e  \\u0938\\u0930\\u094d\\u0935\\u094b\\u092a\\u0930 \\u0939\\u0948 ,\\u0925\\u093e \\u0914\\u0930 \\u0930\\u0939\\u0947\\u0917\\u093e l\\n @KVS_HQ #abvp @BJP4India'",b'210',b'13',b'0',b'2064',b'665',b'False',b'False',b'True',b'False',b'2018-03-04 11:18:58'
b'Right wing celebrates the centenary of the Nazi Party being founded by setting Delhi on fire.\\n#DelhiBurning #DelhiViolence #AmitShahResign',b'1232295273222692870',b'Sirjan',b'sirjank1',b'',b'',b'2',b'25',b'0',b'141',b'126',b'False',b'True',b'True',b'False',b'2016-05-30 19:15:31'
b'@ANI Shame on you @ArvindKejriwal you no less than Nautanki @narendramodi. Your city #DelhiBurning and you indulgin\\u2026 https://t.co/X7TqpnTkuc',b'1232295268957200384',b'bilal motorwala',b'bilal_motorwala',"b'\\u092e\\u0941\\u0902\\u092c\\u0908, \\u092d\\u093e\\u0930\\u0924'","b'A Proud Indian\\nHate Fanatics Of All.\\nFanatic Mullahs,\\nIslamophobics,\\nSanghi, Modi bhakts Hate Me,Abuse Me, I care a damn.\\nProud not to be followed by #Feku'",b'4533',b'2287',b'158',b'222706',b'180404',b'False',b'False',b'True',b'False',b'2014-01-26 11:39:03'
"b'I want to request our side, let them do whatever they want, YOU gather all &amp; focus on Jama , bus wahi kaafi hai, ka\\u2026 https://t.co/EIMe4RwVXK'",b'1232295266553942020',b'Rahul Bansal\\U0001f1ee\\U0001f1f3',b'raahulbansal',b'India',"b'Fitness enthusiast, YouTube-\\nhttps://t.co/UcLnfHjg6S\\nInstagram-\\nhttps://t.co/tiGY1SMkQs'",b'1058',b'187',b'178',b'178499',b'476325',b'False',b'False',b'False',b'False',b'2011-06-15 12:50:20'
