b'\\u0907\\u0902\\u0938\\u093e\\u0928 \\u092e\\u0930 \\u0930\\u0939\\u093e \\u0939\\u0948 \\u0907\\u0902\\u0938\\u093e\\u0928 \\u0939\\u0940 \\u092e\\u093e\\u0930 \\u0930\\u0939\\u093e \\u0939\\u0948\\n \\u091c\\u0928\\u0924\\u093e \\u0930\\u094b \\u0930\\u0939\\u0940 \\u0939\\u0948 \\u0938\\u0930\\u0915\\u093e\\u0930 \\u0938\\u094b \\u0930\\u0939\\u0940 \\u0939\\u0948\\n \\u092d\\u093e\\u0930\\u0924 \\u092e\\u0947\\u0902 \\u0926\\u0947\\u0916\\u094b \\u0909\\u0927\\u092e \\u092e\\u091a\\u093e \\u0939\\u0948\\n \\u091c\\u0939\\u093e\\u0902 \\u0928\\u094d\\u092f\\u093e\\u092f \\u0928\\u093e \\u0939\\u094b \\u0935\\u0939\\u2026 https://t.co/vpYIk4IKcA',b'1232066055767547905',b'Sohaib',b'farrukhsohaibpk',b'',"b""I'm on my journey. Join me by following along.""",b'1095',b'279',b'28',b'44554',b'18891',b'False',b'False',b'False',b'False',b'2013-07-09 16:02:05'
b'Very Bitter Truth!! #RatanLal \\n\\n#ShahrukhMuslimTerrorist #DelhiBurning #IslamicTerrorism \\n\\n@narendramodi @AmitShah\\u2026 https://t.co/8gMyS4NTHT',b'1232066012377468930',b'Truth Speaks \\u0938\\u0924\\u094d\\u092f\\u092e\\u0947\\u0935 \\u091c\\u092f\\u0924\\u0947 \\u0c26\\u0c3e\\u0c17\\u0c26\\u0c41 \\u0c28\\u0c3f\\u0c1c\\u0c02',b'TruthSpeaksSo',b'#US #AP #TS #KA #India',"b'FOLLOW DHARMA\\u0950, PERIOD. Hindu, NRIndian, \\u0c24\\u0c46\\u0c32\\u0c41\\u0c17\\u0c41(Telugu), MEngineer, IT, QA, Dad. #Autism #Vaccines #Health #Yoga #Sanskrit #Swadeshi #Solar #RTE\\nRT\\u2260endorsement'",b'2040',b'525',b'433',b'315063',b'12066',b'False',b'False',b'False',b'False',b'2013-03-15 22:15:59'
"b'Once our Quaid said, The Muslims who are opposing Pakistan will spend rest of their lives proving their loyalty.\\u2026 https://t.co/aylqGsGhbT'",b'1232065986632863746',b'Arslan Amjad\\U0001f1f5\\U0001f1f0',b'arsalan4121',"b'Punjab, Pakistan'",b'Believe in Allah.\\n#Poet\\n#Traveller',b'50',b'50',b'0',b'596',b'1433',b'False',b'False',b'True',b'False',b'2014-09-06 21:23:53'
b'#DelhiBurning #DelhiPolice #DelhiViolence #DelhiRiots #Jafrabad #Maujpur #AmitShahResign https://t.co/DMZfx1Onjp',b'1232065982958424064',b'Tamjeed Farooqui',b'FarooquiTamjeed',b'',b'',b'10',b'64',b'0',b'50',b'469',b'False',b'False',b'True',b'False',b'2020-01-05 19:21:27'
b'They used force &amp; banned internet in Kashmir to lock &amp; suppress the reality there but truth crossed boundaries for\\u2026 https://t.co/qMGcs2hPSM',b'1232065979766788097',b'Anuj Bangad',b'BangadAnuj',b'Pune',b'Patriotism is the last refuge of a scoundrel \\U0001f1ee\\U0001f1f3',b'49',b'86',b'0',b'2414',b'861',b'False',b'False',b'True',b'False',b'2013-11-20 21:37:53'
b'Stand Up\\nConfront\\nFight Back\\n\\n#rejectnrc #defeathidutva #DelhiPolice #ChandBagh #Maujpur #DelhiViolence #Jafrabad\\u2026 https://t.co/yULF6xUUjC',b'1232065957264101376',b'Atik Liman',b'atikul_liman',"b'Dhaka, Bangladesh'",b'',b'894',b'255',b'3',b'3933',b'4543',b'False',b'False',b'True',b'False',b'2016-03-14 07:01:30'
b'\\u0915\\u0936\\u094d\\u092e\\u0940\\u0930 \\u0924\\u094b \\u092f\\u0942 \\u0939\\u0940 \\u092c\\u0926\\u0928\\u093e\\u092e \\u0939\\u0948..!\\n\\u0935\\u0948\\u0938\\u0947 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u0947 \\u0932\\u094c\\u0921\\u093c\\u094b\\u0902 \\u0915\\u093e \\u0915\\u094d\\u092f\\u093e \\u0930\\u0947\\u091f \\u091a\\u0932 \\u0930\\u0939\\u093e \\u092a\\u0924\\u094d\\u0925\\u0930 \\u092b\\u0947\\u0915\\u0928\\u0947 \\u092e\\u0947\\u0902...????\\U0001f914\\n#DelhiViolence\\u2026 https://t.co/uAXb8DdgkA',b'1232065951413104640',b'2\\u0274\\u1d05 \\u0299\\u1d07s\\u1d1b \\u029f\\u1d0f\\u1d0fs\\u1d07\\u0280',b'noo_1ne',b'somewhere on earth',b'be with me..\\nit will help u to how to get lost.',b'79',b'147',b'0',b'3124',b'2669',b'False',b'False',b'True',b'False',b'2019-03-20 20:59:52'
b'#Delhi m puraman protest pr hamla inthai ghatiya amal Hy agr hum ny sub jaga Jawab Dena shru Kar Diya to kahin k nh\\u2026 https://t.co/v32ARYgzJG',b'1232065933507727360',b'Syed Adeel Safri',b'syedadeelsafri',"b'Karachi, Pakistan'",b'\\u200f\\u200f\\u200f\\u200f \\u200f\\u0631\\u0648\\u0634\\u0646 \\u0645\\u06cc\\u0631\\u06cc \\u062a\\u0631\\u0628\\u062a \\u06a9\\u0648 \\u0627\\u06d2 \\u0646\\u0648\\u0631\\u0650 \\u062e\\u062f\\u0627 \\u06a9\\u0631\\u0646\\u0627\\u060c \\n\\u062c\\u0628 \\u0648\\u0642\\u062a\\u0650 \\u0646\\u0632\\u0627\\u0639 \\u0622\\u0626\\u06d2 \\u0622\\u0642\\u0627 \\ufdfa \\u062f\\u06cc\\u062f\\u0627\\u0631 \\u0639\\u0637\\u0627 \\u06a9\\u0631\\u0646\\u0627.',b'1345',b'463',b'10',b'15614',b'14797',b'False',b'False',b'False',b'False',b'2012-07-22 17:11:44'
b'@AamAadmiParty @AmitShah @SanjayAzadSln Delhi walo ko kejriwal ji free free free Free water &amp; electricity ke bad ab\\u2026 https://t.co/Mo15TudZfU',b'1232065907070992385',b'D. K.Tripathi',b'Tripathidk1',"b'Lambhua, Sultanpur, U.P. India'",b'Common Man &  Social Worker by Profession with Politician by Passion .......Founder President of RTA-Right To Alive Trust',b'265',b'2195',b'1',b'11344',b'3659',b'False',b'False',b'True',b'False',b'2018-11-14 11:15:09'
b'Galti se bhi agar NAMO ne\\n\\n0 aur 2 me thoda fer badal kiya toh \\n\\n2020 kahi 2002 na ban jaaye MC\\n\\n#DelhiBurning',b'1232065898485178370',b'RISH TID',b'rish7826',b'',"b""IT'S NOT MY AGE THAT MATTERS RATHER ITS MY RAGE THAT MATTERS.....!""",b'86',b'109',b'1',b'5472',b'16294',b'False',b'False',b'True',b'False',b'2016-03-31 20:33:10'
